,Neighborhood_FID,Distance_University,Park_1,Park_2,Distance_Oper,buildings_total_units,n_occupied_by_owner,n_ownership_with_current_household,n_owned_without_current_household,n_rented_for_residential_purposes,n_rented_with_current_household,n_rented_without_current_household,n_vacation_and_leisure,n_vacant,n_diplomatic_army,n_commercial_use,we_private_individuals,we_private_companies_legal_entities,we_public_companies,we_housing_cooperative,we_does_not_apply_since_no_condominium,w_less_30,w_30_60,w_60_100,w_100_and_more,w_gewerblich,r_1,r_2,r_3,r_4,r_5,r_6,r_7_and_more,r_gewerblich,gs_buildings_with_living_space,gs_residential_buildings,gs_residential_buildings_no_dormitories,gs_dormitory,gs_other_building_with_living_space,j_before_1919,j_1919_1948,j_1949_1978,j_1979_1995,j_1996_2008,j_2009_and_later,e_community_of_apartment_owners,e_private_persons,e_housing_cooperative,e_municipality_housing_company,e_private_housing_company,e_other_private_company,e_federal_or_state_government,e_nonprofit_organization,gt_detached_house,gt_semidetached_house,gt_terraced_house,gt_other_type_of_building,gg_detached_single_family_house,gg_onefamily_semidetached,gg_onefamily_terraced_house,gg_detached_twofamily,gg_twofamily_semidetached_house,gg_twofamily_terraced_house,gg_apartment_3_6,gg_apartment_7_12,gg_apartment_13,gg_other_building_type,h_district,h_floor,h_block,h_central,h_stoves_night,h_no_heating,z_1_apart,z_2_apart,z_3_6_apart,z_7_12_apart,z_13_and_more_apart,families_total_units,famk_couple_wout_child,famk_couple_1_child_less_18,famk_couple_children_more_18,famk_reg_partner_wout_child,famk_reg_partner_1_child_less_18,famk_reg_partner_children_more_18,famk_nonmarital_wout_child,famk_nonmarital_1_child_less_18,famk_nonmarital_children_more_18,famk_fathers_1_child_less_18,famk_fathers_children_more_18,famk_mothers_1_child_less_18,famk_mothers_children_more_18,famk_wout_child,famk_with_child,famk_single_parent,famk_couple,famk_reg_partner,famk_nonmarital,famk_fathers,famk_mothers,famgr_2_pers,famgr_3_pers,famgr_4_pers,famgr_5_pers,famgr_6_more,fams_seniors_only_x,fams_seniors_young_x,fams_wout_seniors_x,households_total_units,hhtyp_single,hhtyp_couples_wout_child,hhtyp_couples_with_child,hhtyp_single_parent,hhtyp_multiplepers_wout_nuclear,hhleb_single,hhleb_married_couples,hhleb_registered_partner,hhleb_nonmarital_partner,hhleb_single_mothers,hhleb_single_fathers,hhleb_multipers_wout_nuclear,hhgr_1_pers,hhgr_2_pers,hhgr_3_pers,hhgr_4_pers,hhgr_5_pers,hhgr_6_more,fams_seniors_only_y,fams_seniors_young_y,fams_wout_seniors_y,population_total_units,al_10_under,al_10_19,al_20_29,al_30_39,al_40_49,al_50_59,al_60_69,al_70_79,al_80_over,alk_18_under,alk_18_29,alk_30_49,alk_50_64,alk_65_over,fam_single,fam_married,fam_widowed,fam_divorced,fam_civil_partner,fam_civil_partner_deceased,fam_civil_partner_dissolved,fam_unknown,geb_germany,geb_eu27,geb_other_europe,geb_other_world,geb_other,ght_male,ght_female,re_roman_catholic,re_protestant,re_other,sg_germany,sg_eu27,sg_other_europe,sg_other_world,sg_other,sh_germany,sh_bosnia,sh_greece,sh_italy,sh_kazakhstan,sh_croatia,sh_netherlands,sh_austria,sh_poland,sh_romania,sh_russia,sh_turkey,sh_ukraine,sh_other,sk_germany,sk_abroad,sz_one,sz_mult_german_foreign,sz_mult_foreign_only,sz_unknown,Area_Types,Area_Count,City_Name,Bare vegetation,Built-up,Cropland,Grassland,Herbaceous wetland,Permanent water bodies,Shrubland,Tree Cover,Number_ways,Length_ways,Distance_station,Distance_monuments,Distance_POI
0,1,5367061.033635038,5370662.421035903,5392974.595452626,5366980.173513723,51235,0,3862,29,0,45081,148,89,1825,0,0,13447,907,43,296,36214,1099,19567,22963,5566,0,1763,10231,17512,14654,5146,872,390,0,0,0,48848,79,2290,18919,1596,14940,7600,4810,421,14848,9801,3741,9082,5694,3642,840,430,3561,825,37132,9409,3,0,54,6,0,74,1796,12375,27002,9409,24147,4787,1813,18702,515,3,90,208,2310,14527,33718,17765,6296,2994,989,53,3,0,2459,1144,39,172,147,1803,991,0,0,0,0,0,0,0,0,11435,3746,1870,417,98,2678,1557,13463,49168,28298,8908,5407,3399,3086,28298,10416,59,3785,2856,463,3086,28298,13407,4320,2077,576,237,0,0,0,79098,6787,3983,13639,16506,14059,8599,6370,6452,2593,9875,14547,30572,11639,12430,45081,23089,3194,7300,445,0,6,3,62035,6679,3666,5694,840,39681,39408,7716,11511,59857,66548,5476,2869,3988,100,66548,63,168,675,0,56,109,296,574,57,536,976,168,8023,66548,12563,75408,3344,71,117,MixedUseArea_Residential_SpecialUseArea,37,Berlin,907,66838,0,1763,0,324,0.0,36950,1304,66809.59243731006,1976.649071627864,5369333.454355012,5366282.213451534
1,2,5370555.071526791,5374155.489440862,5396458.698835095,5370474.070499385,41010,0,2716,0,0,36509,6,40,1617,0,0,8316,461,139,586,31346,917,17736,16972,4374,0,2670,10221,14849,9072,2983,704,155,0,0,0,40279,0,708,23065,1473,11154,2612,1091,6,9595,15588,304,540,7361,4408,469,411,3332,409,31763,5362,3,0,15,3,0,30,648,9427,25304,5362,15421,8248,587,15268,639,0,25,73,771,10749,29196,14473,4197,3194,957,33,0,0,2216,837,9,168,210,1635,777,0,0,0,0,0,0,0,0,8469,3037,1888,650,355,1314,1511,11659,39383,22422,6480,5063,2927,2486,22422,8371,33,3091,2433,458,2486,22422,10055,3501,1992,770,575,0,0,0,67525,6076,5522,13772,10860,10885,8560,6116,4035,1705,10336,15026,21744,11996,8420,38036,19728,2665,6785,255,0,15,9,48136,5386,7036,6147,765,34694,32827,8304,12551,46668,52106,4331,6885,3577,585,52106,356,306,390,0,311,42,138,1260,118,356,4256,220,7161,52106,15419,61362,5355,55,644,CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea,20,Berlin,1020,42209,6,1735,0,3120,0.0,29007,991,55590.2838501692,1837.257628259318,5372826.825392445,5369776.40429464
2,3,5369906.743870559,5373506.51571996,5395803.807335296,5369825.648896175,3667,0,808,0,0,2658,0,42,136,0,0,1895,77,3,0,1639,168,1803,1286,197,0,637,1033,864,751,260,61,22,0,0,0,3258,403,6,398,0,2620,467,32,0,1988,288,0,0,556,169,425,55,1820,62,1293,477,9,0,8,0,0,6,36,362,2732,477,2789,193,41,488,3,3,25,6,43,409,3155,1014,444,175,57,3,0,0,89,49,3,13,9,81,62,0,0,0,0,0,0,0,0,677,182,115,18,3,195,164,649,3524,2400,541,292,176,102,2400,687,3,139,147,28,102,2400,746,203,128,23,17,0,0,0,4944,287,273,953,592,747,612,689,501,286,503,1014,1345,935,1149,2537,1516,316,539,29,0,6,0,3459,358,245,413,456,2520,2424,630,1029,3284,3917,327,227,423,54,3917,0,8,20,0,8,0,10,63,6,50,83,22,688,3917,1026,4560,311,11,55,Residential,3,Berlin,137,2708,2,124,0,0,0.0,2311,124,5857.735857008394,2010.1172672883984,5372178.05322593,5369128.178684036
3,4,5368477.13886275,5372076.882921423,5394373.946381804,5368396.039812587,8288,0,488,18,0,7168,49,26,484,0,0,1532,362,6,56,6257,608,2924,3404,938,0,1019,1415,2824,1843,781,169,59,0,0,0,6960,662,661,1774,80,3095,1890,808,74,1988,1088,23,171,2437,1301,539,45,750,466,4713,2262,6,0,16,3,0,71,325,1392,4021,2262,4805,647,166,2343,21,0,25,102,363,1594,6047,2707,899,556,198,24,0,0,388,102,6,35,30,244,119,0,0,0,0,0,0,0,0,1652,503,313,114,87,264,303,2128,7716,4505,1332,898,471,493,4505,1667,24,540,372,84,493,4505,1958,586,346,139,134,0,0,0,13138,983,1010,2686,1924,2053,1832,1412,846,364,1732,2955,3982,2621,1837,7135,3997,502,1352,129,0,0,8,8156,1313,1530,1818,281,6985,6144,1579,1990,9562,9483,1039,1304,1183,100,9483,73,69,109,0,60,9,28,204,21,192,551,135,2047,9483,3652,11672,1290,29,112,MixedUseArea_Residential_SpecialUseArea,15,Berlin,929,28949,19,2175,0,1212,0.0,18519,544,36872.4460416688,1796.5051953165855,5370748.429036856,5367698.578117588
4,5,5372093.104504315,5375694.687887752,5398008.566744177,5372012.273016821,44044,0,1904,3,0,40107,63,12,1800,0,0,6613,804,10,397,36009,1214,20349,18448,2446,0,2567,10745,17329,9525,2621,458,106,0,0,0,42062,1391,571,23061,6085,9658,2779,726,0,7915,12729,2042,2939,10419,2477,1461,1422,3163,769,35288,4604,16,63,43,6,3,9,1473,14575,22868,4604,19032,8196,412,14046,1259,0,165,70,1593,15759,26164,15878,4773,3398,1044,21,0,0,2177,831,9,198,160,1918,869,0,0,0,0,0,0,0,0,9293,3250,2002,800,420,1704,1669,12499,42155,23542,7069,5437,3350,2713,23542,9283,21,3142,2833,479,2713,23542,11059,3715,2127,999,577,0,0,0,74181,6782,6353,15197,11500,11430,8824,6642,5031,2409,11524,16810,22935,12265,10647,39955,22285,3844,7890,161,0,6,22,51105,6274,9286,6414,1041,38089,36092,7450,13187,53547,54027,5107,9855,4489,644,54027,646,360,333,6,338,34,104,1712,157,336,6777,127,8576,54027,20143,67345,5971,48,700,CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea,14,Berlin,2345,40685,19,5024,0,4675,0.0,39710,894,79823.33036449693,3434.583449331145,5374365.660279431,5371314.253192449
5,6,5369757.676993817,5373360.364278856,5395684.421413028,5369677.006060435,40496,0,1452,0,0,37337,28,12,1512,0,0,5131,515,30,30,34561,374,16902,19661,2051,0,1296,9004,15672,10545,2940,423,97,0,0,0,39245,663,555,15160,2806,13298,6683,584,8,5796,9582,2419,1235,6722,4649,5327,1375,2873,581,33338,3450,78,0,33,9,3,35,727,12229,23609,3450,5362,6475,1761,24863,729,0,146,82,884,13193,25989,17212,4279,4865,1428,12,0,0,1942,936,27,158,160,2130,834,0,0,0,0,0,0,0,0,8477,3753,2813,1257,864,1504,1787,13892,38977,19208,6314,7363,3539,2569,19208,10607,12,2990,3031,456,2569,19208,10021,4125,2960,1432,1175,0,0,0,78868,9493,8543,14970,12487,11443,8257,6436,4835,2387,16032,16973,23925,11614,10315,42373,25238,3746,7351,121,0,6,21,51178,6306,13352,6994,1000,40276,38588,6913,10704,61259,53948,5094,14395,4290,1092,53948,842,348,327,12,338,33,100,1586,174,578,10437,171,9334,53948,24921,69262,8263,55,1182,CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea,15,Berlin,440,43374,2,755,0,485,0.0,16211,576,31190.21530561289,3020.048948776927,5372030.992174642,5368978.651488697
6,7,5363432.7384565305,5367034.983423194,5389355.098791375,5363352.003001873,70242,0,2780,4,0,65187,28,16,2043,0,0,12071,2846,3,0,55075,972,30064,32157,5317,0,3888,16024,27136,16878,4842,614,249,0,0,0,68857,387,986,36881,1971,18976,6235,3363,627,15018,20174,3189,11995,7986,8190,469,131,4416,2222,53928,9399,3,0,110,0,3,16,714,12363,47259,9399,33310,8756,880,24666,1351,70,128,49,899,14315,54545,23585,6130,3244,958,66,3,0,5527,2482,39,306,129,3007,1134,0,0,0,0,0,0,0,0,15380,5255,2294,410,70,2537,1349,19623,68132,37401,11808,6910,4854,7135,37401,10430,72,8129,4187,606,7135,37401,20195,6833,2679,592,192,0,0,0,113554,9628,5061,28736,28349,16553,9392,6142,6257,3401,13566,29849,44908,12144,13111,76504,23793,4226,8519,496,0,6,6,98154,6470,2750,5301,774,57471,56079,9102,15277,89193,102270,4914,2260,3977,66,102270,240,54,688,3,34,112,326,564,18,206,625,98,7506,102270,11294,109940,3294,55,76,CommercialBuildingArea_MixedUseArea_Residential,17,Berlin,1167,41842,19,3505,0,356,0.0,52606,1589,138291.252595719,5843.743042775911,5365705.74903735,5362653.783012926
7,8,5365017.596343534,5368617.800461991,5390919.151759042,5364936.564091469,76047,0,5039,30,0,68448,40,6,2227,0,0,13260,1174,24,378,60800,1621,30602,31945,9686,0,4172,16953,26708,18903,6562,1559,554,0,0,0,73814,303,1890,43112,1471,23002,4963,705,133,15026,24201,606,5395,17342,6121,1134,867,5414,1579,58587,10027,19,3,45,3,0,54,2156,19819,43352,10027,14379,16048,2836,37549,2715,0,112,143,2661,22605,50086,27797,5692,7378,2107,67,3,0,3773,2252,31,502,304,3630,1390,0,0,0,0,0,0,0,0,13759,6658,4481,1853,925,1414,2622,23660,73693,39077,9675,11962,6147,6827,39077,15246,85,6190,5097,965,6827,39077,18081,7868,4825,2145,1526,0,0,0,138922,14479,13169,23640,27952,24585,16799,10066,6011,2182,24993,26286,52536,22497,12598,86019,37188,3877,11226,501,3,9,10,99353,9779,18823,9558,1311,70926,67982,13540,22374,103005,104606,8614,19330,5378,911,104606,474,535,1198,0,466,235,567,1100,27,208,16084,175,12222,104606,34313,125934,11560,177,1008,CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea,21,Berlin,2148,56655,46,7743,0,398,1.0,36786,2329,143439.2345957421,3973.1185975575263,5367289.202880755,5364238.963075676
8,9,5366529.914606419,5370133.196123881,5392462.769780731,5366449.330076615,89782,0,5090,17,0,81912,100,110,2345,0,0,20347,1608,34,7,67553,1301,40050,37358,9141,0,4158,21252,33594,21929,6438,1321,504,0,0,0,88029,31,1707,55186,11430,13560,3030,3149,579,22089,26453,5976,11153,14646,4815,639,534,6600,2190,69670,11016,114,9,226,71,10,33,1764,27206,48861,11016,22897,18187,1807,40909,4291,19,379,168,2284,30450,56090,31897,8482,5538,869,103,6,0,6119,3244,52,349,136,4746,1422,0,0,0,0,0,0,0,0,20171,7241,3644,608,46,3100,1631,27072,87280,50362,14847,10045,7003,5012,50362,15056,134,9553,6237,698,5012,50362,23766,8001,3949,767,169,0,0,0,141195,14987,6692,24597,36273,27662,11737,8276,7508,3461,20507,25766,63931,15765,15234,89735,34151,4752,11826,735,0,3,3,123393,8570,2500,5812,725,70110,71071,13496,21624,106063,128490,6824,1809,3881,45,128490,26,162,813,3,21,156,568,670,43,286,232,87,8497,128490,12685,137331,3545,70,55,CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea,28,Berlin,828,58600,16,1563,0,3,0.0,49080,1239,64127.16933229996,4468.524865964503,5368803.638500671,5365750.79541433
9,10,5365859.579536687,5369464.561695968,5391809.76380696,5365779.242602678,27602,0,1661,0,0,25074,6,0,720,0,0,3621,658,57,49,23098,275,12869,11479,1668,0,422,4083,11574,7963,2592,408,132,0,0,0,26906,176,498,6854,6888,6554,1840,3899,182,4440,5649,4746,5176,4607,1569,18,59,2851,293,22401,1915,495,79,55,153,17,51,3159,15082,6335,1915,9907,4405,857,10042,1725,0,692,301,3324,15990,7154,12013,4206,1563,451,12,0,0,1711,1154,44,95,57,1645,589,0,0,0,0,0,0,0,0,7983,2684,1067,123,9,2007,781,9165,26818,13423,5991,3434,2584,1341,13423,6354,12,3007,2319,197,1341,13423,8885,2893,1194,184,40,0,0,0,47001,4174,2834,7901,7681,8366,5217,3926,4693,2104,6460,8464,16057,7017,8970,24230,14483,2879,5261,133,0,0,0,43529,1703,507,821,278,22801,24185,2316,4548,40126,45195,824,339,522,6,45195,12,4,36,3,6,6,16,228,19,53,31,18,983,45195,1775,46192,753,0,6,CommercialBuildingArea_Residential,19,Berlin,577,17394,911,3081,0,8,0.0,57387,453,43366.40619776732,7154.295079571016,5368134.473538051,5365080.191940871
