,0
0,
1,5373319.682269357
2,5376811.8501726
3,5376162.27746112
4,5374732.619402356
5,5378352.129099669
6,5376018.830330563
7,5369693.041441552
8,5371273.964891562
9,5372792.2145876605
10,5372125.158147277
11,5374964.763448102
12,5374323.154460564
13,5375059.530720054
14,5373162.928434129
15,5375513.105151779
16,5380154.478336154
17,5377184.853855613
18,5377326.496644357
19,5377410.513523184
20,5378835.662928619
21,5379636.963273154
22,5377735.13300767
23,5375221.432636509
24,5376181.701008181
25,5379684.977255836
26,5380603.423986441
27,5380035.118682914
28,5377340.846464773
29,5384871.429752937
30,5384020.975001805
31,5382107.8312601205
32,5387772.014535757
33,5383368.577805004
34,5383182.273648193
35,5388347.195683557
36,5387805.224198693
37,5384102.095552023
38,5372406.400711929
39,5371879.268193188
40,5369968.148564898
41,5375778.167024676
42,5375507.333728331
43,5378855.84039461
44,5380417.152757408
45,5372893.765887882
46,5373693.143958284
47,5370013.232613852
48,5368116.385332652
49,5367295.08326952
50,5364418.340739464
51,5367853.281499757
52,5366002.668394121
53,5364672.017589386
54,5360992.848065198
55,5363347.7802733565
56,5367828.449465455
57,5366085.8599381605
58,5364488.078150822
59,5362344.31452439
60,5361816.189969922
61,5358269.5562562635
62,5359693.71681252
63,5355984.186638825
64,5362497.291357728
65,5356617.033273454
66,5356085.677684168
67,5351643.83971511
68,5354803.748610524
69,5350167.593993186
70,5349595.403416957
71,5366570.402999193
72,5363663.933582071
73,5361800.123652543
74,5360261.157828757
75,5363238.722278082
76,5365626.84933926
77,5363655.891364175
78,5367987.112907124
79,5368825.245114902
80,5372286.56161224
81,5371100.477866333
82,5370215.963232031
83,5369414.739559116
84,5369817.521021828
85,5366640.583311189
86,5379559.241645486
87,5384287.985310821
88,5386668.279822397
89,5388333.861857231
90,5387185.9652849315
91,5384699.742361664
92,5383307.6125928415
93,5382006.9615680985
94,5381911.104374042
95,5380864.2382772425
