,0
0,
1,6072218.872608488
2,6072426.530314173
3,6071143.728393765
4,6081336.89948953
5,6077413.009700637
6,6073849.581866122
7,6072130.006519056
8,6072904.829439099
9,6072373.083580593
10,6071938.038396431
11,6071475.007662275
12,6071342.676506017
13,6071704.725434583
14,6069997.258929752
15,6067695.1328584775
16,6066793.161266837
17,6068757.245135661
18,6068346.937161986
19,6075338.709272012
20,6074720.848223465
21,6073500.743778458
22,6073485.99011838
23,6074304.855065373
24,6076149.300127526
25,6080836.122368267
26,6078291.774632446
27,6070480.638938679
28,6070703.002582382
29,6069303.319513544
30,6069689.938353423
31,6071775.634345127
32,6071683.1156398775
33,6071537.304557718
34,6070319.699167559
35,6069382.739547401
36,6070734.846784779
37,6070051.8257407835
38,6068366.938647413
39,6067850.9565956425
40,6067844.628697335
41,6066907.33298964
42,6068942.916955781
43,6071341.284750899
44,6070310.061106021
45,6068677.483589127
46,6064837.423093872
47,6063898.995575477
48,6063237.606998799
49,6062887.636824392
50,6065492.689022025
51,6065952.81594356
52,6068024.837053831
53,6065253.379071382
54,6063176.415823392
55,6061665.739719
56,6076567.703966718
57,6073554.870497175
58,6072652.24802967
59,6072882.564806373
60,6073603.892703367
61,6073526.688394781
62,6074471.398643348
63,6074215.283382308
64,6075445.608167121
65,6074342.7577915
66,6075223.488934537
67,6075272.736992344
68,6076967.490358196
69,6076674.605758543
70,6077889.795583006
71,6079589.550024196
72,6081724.723344427
73,6084987.420132029
74,6082920.81961868
75,6084412.253552027
76,6085619.295898617
77,6088209.3272982845
78,6086783.753577349
79,6087421.025949289
80,6089176.131960599
81,6089610.832487778
82,6091549.151719427
83,6093544.446765784
84,6092915.717805592
85,6095151.762925733
86,6097395.157795318
