,0
0,
1,5153927.8583988445
2,5136305.7875983305
3,5147554.620564583
4,5152309.4776010895
5,5136063.583544825
6,5152249.592340856
7,5151459.282618739
8,5154832.939215562
9,5153060.200190983
10,5139666.8521056
11,5151146.354028779
12,5149550.09462578
13,5146391.266820948
14,5141692.113704853
15,5153228.933035461
16,5139086.736140458
17,5140016.577108848
18,5155220.923047103
19,5147940.202769507
20,5141146.492090269
21,5155939.063037743
22,5136356.960797747
23,5150379.286226922
24,5144893.970285595
25,5141697.620317409
26,5146036.80883571
27,5153009.497754583
28,5136457.414258624
29,5152460.364753697
30,5149532.846307853
31,5147401.628057279
32,5152167.991405399
33,5143899.58762482
34,5150650.72672495
35,5151066.075297153
36,5150049.539944202
37,5145669.83235727
38,5153880.663201136
39,5152319.903004649
40,5150312.193581311
41,5151875.354131422
42,5155940.510906084
43,5138711.3694392685
44,5147754.316811434
45,5148225.480597559
46,5154084.784917212
47,5145264.691838672
48,5147847.962843328
49,5135153.115757424
50,5142280.596642876
51,5138350.185377629
52,5150979.537191568
53,5144768.97064027
54,5154527.659732674
55,5139582.548731001
56,5137587.659594115
57,5157332.158570224
58,5140334.521596494
59,5144643.120124056
60,5144273.127119797
61,5147292.530603366
62,5148596.340218095
63,5156844.632042173
64,5144284.27914827
65,5140310.550239603
66,5147348.099634251
67,5152668.063239844
68,5145750.652725995
69,5137001.435847605
70,5155984.3522511395
71,5140062.146058511
72,5151463.861175034
73,5143609.536571875
74,5152987.080086215
75,5143392.98608828
76,5149151.894091784
77,5147631.761932969
78,5149044.20479754
79,5150487.616032242
80,5153621.098737712
81,5146671.275345568
82,5147325.9549177615
83,5135055.44993132
84,5143513.399212367
85,5147331.17024278
86,5150065.138680113
87,5149324.544090067
88,5142731.447451285
89,5151224.067330384
90,5151479.258983277
91,5151632.60231122
92,5145988.103582113
93,5150906.245997509
94,5137789.977703004
95,5150990.8685932765
96,5146962.46764041
97,5141469.278735657
98,5149724.600000113
99,5143390.122785794
100,5153640.057587927
101,5139011.585584881
102,5148652.1853369055
103,5150758.5779484045
104,5141445.527045938
105,5146110.191259116
