,0
0,
1,6083616.825227256
2,6097678.547081238
3,6101393.727891459
4,6094272.83092573
5,6091667.975195101
6,6091336.757043856
7,6090620.223418603
8,6082162.46886481
9,6079099.511454447
10,6096069.710167726
11,6099265.255941002
12,6099098.148585596
13,6094853.181081752
14,6089739.614705508
15,6096906.946671226
16,6088244.069172671
17,6087464.47291136
18,6092251.391294029
19,6101365.055902414
20,6088757.977150247
21,6083870.749979123
22,6092808.83991167
23,6098523.363232532
24,6093430.192281638
25,6086195.644030397
26,6096444.171429012
27,6107446.812801133
28,6095217.2001781175
29,6088395.381924491
30,6092627.076055158
31,6094261.787545539
32,6101186.799699908
33,6096602.321396626
34,6096266.971490681
35,6103474.493120072
36,6094089.353227482
37,6095570.083871975
38,6096386.842675879
39,6092081.671524093
40,6093372.7466483135
41,6101095.584082303
42,6084949.946772125
43,6090466.045933227
44,6084261.663599303
45,6089285.152653513
46,6086823.254346995
47,6102855.720922709
48,6102169.197123096
49,6091721.2535374
50,6086459.937319395
51,6081421.845159132
52,6091986.5804820815
53,6085472.965839086
54,6087784.663648348
55,6098120.317856897
56,6089386.20162055
57,6099018.887256386
58,6090169.652105385
59,6100073.570699446
60,6078814.818204319
61,6084303.744505655
62,6085869.069449497
63,6087495.147052831
64,6100726.81989161
65,6090402.140163911
66,6080498.123455519
67,6100713.592679617
68,6093029.464994984
69,6087187.251273833
70,6087659.986358981
71,6101486.538797821
72,6091006.018115887
73,6082195.618309805
74,6096766.265311294
75,6090319.880684374
76,6085979.65262272
77,6083124.015259791
78,6100785.353641327
79,6079640.70051997
80,6089550.31482195
81,6106499.970009868
82,6101802.361168846
83,6103888.135255287
84,6080286.564960157
85,6089487.094493305
