,0
0,
1,1976.6490716278636
2,1837.257628259318
3,2010.1172672883986
4,1796.5051953165855
5,3434.583449331145
6,3020.048948776927
7,5843.743042775911
8,3973.1185975575263
9,4468.524865964503
10,7154.295079571016
11,9558.679109783041
12,7020.608149177926
13,12236.004053301125
14,9790.562379610237
15,5593.335349538491
16,11123.253034833453
17,15035.320336249995
18,10804.797483139384
19,6616.266923804259
20,8048.341308630482
21,6957.159987158421
22,4385.817320413355
23,5581.262663194633
24,7366.222503081912
25,10106.862317910787
26,8040.565534246096
27,5171.128394732533
28,6036.441264764976
29,11390.772709044784
30,9736.694531867326
31,7750.89573680365
32,15332.829235646017
33,14429.67085221931
34,17071.573821699552
35,13605.641776918084
36,13985.633059670598
37,12224.287281189272
38,8171.391814614559
39,11782.522685115307
40,10471.072887723174
41,12823.842835876123
42,9712.347218669664
43,14778.970096969955
44,19428.442164037013
45,5104.384805653861
46,6474.827561954663
47,6669.677706474446
48,9746.162995558716
49,12800.39085426066
50,14729.821785161708
51,7403.9652163367455
52,10123.166000424491
53,12150.277387221653
54,14786.690952616173
55,12714.734624182867
56,7311.667818159037
57,9040.166342709264
58,10719.74382786241
59,12871.771942301017
60,13295.6276833381
61,17091.04515316065
62,15436.204066159193
63,19388.8135097233
64,12675.993354510543
65,18621.31458714115
66,19707.075503678363
67,24383.402426608467
68,20346.374597497248
69,25072.244682988523
70,25561.663199119423
71,12612.52538800606
72,13045.312553957398
73,15058.068716622702
74,16993.747611172243
75,15731.443613941667
76,10342.205114458615
77,11818.083336734071
78,8670.315615321151
79,13461.911192551664
80,9915.655891673005
81,11970.254744191594
82,10763.150525694273
83,9250.452702242486
84,7022.729974855415
85,8859.180975565723
86,5442.059828026181
87,9223.47684388304
88,11587.263773167273
89,13398.5956602426
90,13908.214141788343
91,11100.413737932857
92,9708.176930873935
93,10084.393100897822
94,8032.135516549465
95,8315.212545385315
