,0
0,
1,5152622.391030827
2,5134996.4547227705
3,5146248.852234828
4,5151002.493282142
5,5134756.25386008
6,5150944.518504383
7,5150154.001402706
8,5153528.641976219
9,5151756.044595164
10,5138360.677806552
11,5149840.401964698
12,5148243.546834679
13,5145084.109794724
14,5140384.576581871
15,5151920.98094749
16,5137778.738102282
17,5138709.61537145
18,5153915.87970176
19,5146630.659295294
20,5139840.3276704475
21,5154633.6340207895
22,5135049.201417734
23,5149074.185247825
24,5143585.080486489
25,5140390.869757466
26,5144731.246048916
27,5151704.754620147
28,5135150.553944881
29,5151155.887432437
30,5148224.361758278
31,5146095.544222894
32,5150859.691051697
33,5142593.832215249
34,5149343.102609956
35,5149761.323738048
36,5148744.989758934
37,5144363.891576798
38,5152574.800656662
39,5151014.449316568
40,5149005.547518134
41,5150565.531331097
42,5154634.654016807
43,5137404.535119851
44,5146447.533332859
45,5146919.630872012
46,5152779.935406043
47,5143959.383231063
48,5146540.503625366
49,5133845.379944342
50,5140974.360871959
51,5137043.698223171
52,5149672.302303339
53,5143462.335227118
54,5153223.606078383
55,5138273.994188382
56,5136280.357973896
57,5156026.73181
58,5139027.187222248
59,5143337.987264065
60,5142966.0714902235
61,5145987.145854116
62,5147291.810895128
63,5155539.767188554
64,5142977.853321291
65,5139003.914388431
66,5146043.141485171
67,5151361.89403142
68,5144444.274319115
69,5135692.892815983
70,5154680.102122205
71,5138754.382493376
72,5150157.573354141
73,5142303.243684621
74,5151681.465427892
75,5142085.6463955995
76,5147846.55633024
77,5146325.304429064
78,5147737.419488737
79,5149180.635697132
80,5152311.3381538065
81,5145365.04517071
82,5146015.9673977615
83,5133746.875833079
84,5142206.662755983
85,5146027.013331057
86,5148760.234390881
87,5148019.660197234
88,5141424.608094548
89,5149914.664311544
90,5150174.353444261
91,5150328.350286153
92,5144681.334039837
93,5149598.153330231
94,5136482.060685984
95,5149681.915280037
96,5145651.759473856
97,5140162.144231636
98,5148418.651451449
99,5142082.385430734
100,5152336.170288875
101,5137704.250231917
102,5147347.053047927
103,5149453.15856774
104,5140137.559098664
105,5144805.028130971
