,0
0,
1,5366980.173513723
2,5370474.070499385
3,5369825.6488961745
4,5368396.039812587
5,5372012.273016821
6,5369677.006060435
7,5363352.003001873
8,5364936.564091469
9,5366449.330076615
10,5365779.242602678
11,5368615.3961173
12,5367976.702278597
13,5368707.140280693
14,5366813.518564267
15,5369168.231562592
16,5373804.710053624
17,5370829.469214887
18,5370975.981366288
19,5371064.933635506
20,5372489.031796498
21,5373292.42210829
22,5371400.540808043
23,5368889.181269739
24,5369851.382554297
25,5373356.607218979
26,5374271.497480654
27,5373698.337460586
28,5371008.626033444
29,5378539.498516743
30,5377686.843932559
31,5375773.032964756
32,5381443.22029457
33,5377043.39664904
34,5376860.729995104
35,5382012.183188275
36,5381473.286928767
37,5377772.892031447
38,5366076.566219617
39,5365553.537808117
40,5363639.915999083
41,5369454.10291884
42,5369179.753627395
43,5372533.459754214
44,5374099.751415418
45,5366560.4042760115
46,5367361.729537032
47,5363679.537420629
48,5361785.509333748
49,5360968.007058207
50,5358091.262110473
51,5361516.3727998
52,5359669.1092819935
53,5358340.500057413
54,5354659.2686774265
55,5357014.686536795
56,5361489.159981908
57,5359746.725304369
58,5358151.139558019
59,5356007.608270548
60,5355477.607796502
61,5351934.293252881
62,5353356.007219626
63,5349649.227638659
64,5356157.320930317
65,5350276.023471049
66,5349741.306817399
67,5345297.790260026
68,5348466.609832935
69,5343826.175077128
70,5343258.577589908
71,5360221.346090394
72,5357318.295811123
73,5355453.599452881
74,5353913.251033549
75,5356888.488607065
76,5359283.623303722
77,5357314.045579058
78,5361642.961052601
79,5362473.225525371
80,5365937.253046073
81,5364749.166136025
82,5363866.562919376
83,5363067.934540837
84,5363473.738590699
85,5360299.087638635
86,5373217.127290934
87,5377948.358776445
88,5380330.659720791
89,5381992.838340591
90,5380839.596762931
91,5378354.851505486
92,5376963.16237724
93,5375660.07821219
94,5375567.701812698
95,5374518.883996021
