,0
0,
1,6074000.97054899
2,6074209.190420021
3,6072926.083359983
4,6083119.744500412
5,6079194.308804951
6,6075631.150334957
7,6073911.576443394
8,6074685.815741799
9,6074153.988506936
10,6073718.930015409
11,6073255.618011277
12,6073123.77704653
13,6073484.3757217415
14,6071777.927481965
15,6069476.710215998
16,6068572.9089073
17,6070537.34411308
18,6070125.948618403
19,6077117.385211996
20,6076498.1647786405
21,6075278.612653319
22,6075265.489813961
23,6076085.76222722
24,6077931.043797753
25,6082617.0569605725
26,6080071.419976038
27,6072263.0610659905
28,6072485.861000225
29,6071085.840752751
30,6071473.072490497
31,6073560.387105501
32,6073466.794704552
33,6073320.402749679
34,6072104.416279211
35,6071167.354587464
36,6072518.597025316
37,6071835.422450423
38,6070151.021135466
39,6069636.277677848
40,6069629.376814055
41,6068692.530209745
42,6070728.537925205
43,6073127.152087706
44,6072097.18364862
45,6070467.383073054
46,6066622.378517012
47,6065684.5605072
48,6065023.88017539
49,6064672.073506079
50,6067278.364639619
51,6067736.971122215
52,6069807.964924642
53,6067035.300556251
54,6064958.3277797885
55,6063448.9383717375
56,6078354.589967676
57,6075338.338309817
58,6074435.408106624
59,6074666.56517435
60,6075388.613534034
61,6075309.355488778
62,6076254.005071343
63,6075998.250900243
64,6077228.973227414
65,6076126.344954339
66,6077008.245789964
67,6077055.108194349
68,6078750.855346289
69,6078458.61058457
70,6079673.945408449
71,6081373.9965127865
72,6083509.569856358
73,6086770.305562678
74,6084707.172595307
75,6086197.823204574
76,6087403.862497075
77,6089993.036139395
78,6088567.484928593
79,6089205.894672417
80,6090960.951116641
81,6091394.276147592
82,6093332.161472072
83,6095327.060949378
84,6094700.160445826
85,6096934.9300848795
86,6099178.611210283
