,0
0,
1,5153588.474135714
2,5135962.940681819
3,5147214.966829097
4,5151968.73500647
5,5135722.531524434
6,5151910.560343696
7,5151120.064984369
8,5154494.602285942
9,5152721.990004756
10,5139326.834840648
11,5150806.535809748
12,5149209.742962716
13,5146050.36950736
14,5141350.875897525
15,5152887.323539925
16,5138745.085403483
17,5139675.854674816
18,5154881.918358259
19,5147597.167147614
20,5140806.483679092
21,5155599.713117499
22,5136015.523858483
23,5150040.229924259
24,5144551.520515799
25,5141357.087023965
26,5145697.33910931
27,5152670.761760113
28,5136116.7826430835
29,5152121.866653378
30,5149190.7597140465
31,5147061.691835239
32,5151826.069871522
33,5143559.945437568
34,5150309.411036189
35,5150727.331752244
36,5149710.976621445
37,5145330.024212309
38,5153540.925146971
39,5151980.530979581
40,5149971.753916298
41,5151532.068142307
42,5155600.777925951
43,5138370.761116171
44,5147413.754068419
45,5147885.753990875
46,5153745.953717992
47,5144925.449651637
48,5147506.794854378
49,5134811.699924416
50,5141940.5243482925
51,5138009.887956614
52,5150638.570160859
53,5144428.540483819
54,5154189.540775256
55,5139240.399366547
56,5137246.632720083
57,5156992.810677516
58,5139993.465397925
59,5144304.035253996
60,5143932.320613674
61,5146953.220266229
62,5148257.795558581
63,5156505.7871252205
64,5143944.036676808
65,5139970.1196675
66,5147009.1711621275
67,5152328.050601317
68,5145410.452725922
69,5136659.296784449
70,5155646.05748595
71,5139720.705389364
72,5151123.742320986
73,5143269.413139999
74,5152647.563958231
75,5143051.925141784
76,5148812.625827249
77,5147291.491112684
78,5148703.640422147
79,5150146.8769962
80,5153277.868530251
81,5146331.208084919
82,5146982.5212403
83,5134713.28301973
84,5143172.878559232
85,5146992.958848809
86,5149726.258430507
87,5148985.682092515
88,5142390.8346378505
89,5150881.157621261
90,5151140.377622474
91,5151294.305826318
92,5145647.553310975
93,5150564.5105402805
94,5137448.399547262
95,5150648.361934748
96,5146618.387839719
97,5141128.401569152
98,5149384.784921168
99,5143048.705614508
100,5153302.087480486
101,5138670.528502705
102,5148313.100999071
103,5150419.236627454
104,5141103.903280379
105,5145771.079302897
