,0
0,
1,5754554.688012257
2,5754742.023445944
3,5755198.790329015
4,5756296.902471411
5,5756645.214078286
6,5755677.441967477
7,5754728.857892805
8,5752712.444628196
9,5754091.967063629
10,5755790.9459918495
11,5756846.691654283
12,5758136.133382723
13,5753783.452356137
14,5752452.346190703
15,5757043.258341684
16,5751206.145946252
17,5755229.61693476
18,5758572.470111677
19,5758567.448999466
20,5760294.069712767
21,5759422.903129534
22,5760759.89405537
23,5760057.280968572
24,5761976.109042943
25,5758684.585934268
26,5757401.167842801
27,5759022.06354972
28,5756990.349670721
29,5756549.4415033385
30,5760114.020725167
31,5757153.196441759
32,5752597.662743543
33,5754302.412224084
34,5750808.71668722
35,5762163.23245981
36,5760298.283990688
37,5762443.154079513
38,5764696.313644603
39,5763719.71314845
40,5761516.377314153
41,5759251.555200814
42,5761817.194144386
43,5758921.056046917
44,5761164.969569309
45,5752715.570510411
