,0
0,
1,5370662.421035903
2,5374155.489440862
3,5373506.5157199595
4,5372076.882921423
5,5375694.6878877515
6,5373360.364278856
7,5367034.983423194
8,5368617.800461991
9,5370133.196123881
10,5369464.561695968
11,5372302.370338553
12,5371662.278982608
13,5372395.563526726
14,5370500.51288936
15,5372853.051674795
16,5377491.877289371
17,5374519.327794243
18,5374663.506205739
19,5374750.092656399
20,5376174.69500499
21,5376977.083506355
22,5375080.431287601
23,5372567.94864703
24,5373529.222957893
25,5377033.513553781
26,5377950.109902319
27,5377379.278110592
28,5374687.378911954
29,5382218.1138883745
30,5381366.514257262
31,5379453.022984324
32,5385120.331411434
33,5380718.773768578
34,5380534.361848211
35,5385692.276929587
36,5385151.905661959
37,5381450.198890854
38,5369754.173874705
39,5369229.176581441
40,5367316.754831291
41,5373128.942897555
42,5372856.280353008
43,5376207.4925124105
44,5377771.395108209
45,5370239.703783881
46,5371040.095234202
47,5367358.996457517
48,5365463.61587952
49,5364644.290738884
50,5361767.546488251
51,5365197.372635532
52,5363348.502409531
53,5362018.913764594
54,5358338.670724709
55,5360693.856035477
56,5365171.301482494
57,5363428.792273077
58,5361832.153189634
59,5359688.510138317
60,5359159.4091638895
61,5355614.50232318
62,5357037.389813814
63,5353329.290545032
64,5359839.78809516
65,5353958.988065961
66,5353425.882807718
67,5348983.170271856
68,5352147.717907943
69,5347509.33479727
70,5346939.534748674
71,5363908.170176284
72,5361003.480388275
73,5359139.208682125
74,5357599.522799819
75,5360575.876222421
76,5362967.651949584
77,5360997.412137722
78,5365327.433948109
79,5366161.470035651
80,5369624.198672939
81,5368437.07173335
82,5367553.552193995
83,5366753.679607118
84,5367158.034665006
85,5363982.286805652
86,5376900.62515927
87,5381630.664522772
88,5384012.00371142
89,5385675.814575955
90,5384525.135405098
91,5382039.681356594
92,5380647.780755656
93,5379345.8628364
94,5379251.817689743
95,5378203.935409181
