,0
0,
1,5755385.644898602
2,5755572.996970014
3,5756029.702080488
4,5757127.838840653
5,5757476.226173791
6,5756508.502157497
7,5755559.932869539
8,5753543.509398161
9,5754923.093338903
10,5756621.758668707
11,5757677.505381875
12,5758967.032392122
13,5754614.363669996
14,5753283.108504092
15,5757873.624814894
16,5752037.146981206
17,5756060.362684011
18,5759403.051576576
19,5759398.156294926
20,5761124.933667782
21,5760253.856805507
22,5761590.87271306
23,5760888.380834806
24,5762807.20028872
25,5759515.632395844
26,5758232.267009073
27,5759853.217319039
28,5757821.50349107
29,5757380.656185866
30,5760945.300482108
31,5757984.497503242
32,5753428.816090904
33,5755133.652250113
34,5751639.928976929
35,5762993.807196349
36,5761128.967164589
37,5763273.564872527
38,5765526.785954155
39,5764550.313414383
40,5762347.1378450375
41,5760083.062511488
42,5762648.424000444
43,5759752.405871916
44,5761996.34644744
45,5753546.960252526
