,0
0,
1,5392974.595452626
2,5396458.698835095
3,5395803.807335296
4,5394373.946381804
5,5398008.566744177
6,5395684.421413028
7,5389355.098791375
8,5390919.151759042
9,5392462.769780731
10,5391809.76380696
11,5394665.313009026
12,5394010.209391052
13,5394774.086547327
14,5392863.705071016
15,5395192.827894738
16,5399856.799360978
17,5396913.250677253
18,5397032.325775387
19,5397093.476334127
20,5398523.471762331
21,5399315.077623668
22,5397367.2091463795
23,5394842.715019328
24,5395794.020990517
25,5399288.221594713
26,5400223.112893932
27,5399677.290792082
28,5396961.950271547
29,5404491.069462373
30,5403650.811731169
31,5401740.788622101
32,5407377.087223847
33,5402957.004842479
34,5402753.875271642
35,5407981.040905975
36,5407424.84303226
37,5403709.123436025
38,5392016.5439768005
39,5391470.4285086505
40,5389570.919207574
41,5395361.552601519
42,5395106.9923652215
43,5398431.386222321
44,5399969.640850133
45,5392520.226292049
46,5393310.578013526
47,5389641.285332406
48,5387731.420684686
49,5386892.547737065
50,5384015.864669747
51,5387496.24715517
52,5385630.158334515
53,5384290.079929172
54,5380620.515875852
55,5382973.160530559
56,5387482.439017987
57,5385739.161608327
58,5384131.238539547
59,5381986.4351454815
60,5381467.0050413
61,5377905.063572967
62,5379340.5272749895
63,5375618.325016612
64,5382154.523295418
65,5376279.176927122
66,5375763.396526166
67,5371329.408337388
68,5374447.99833447
69,5369831.740598023
70,5369238.291871817
71,5386269.654201967
72,5383347.39378421
73,5381487.721204736
74,5379955.186091607
75,5382943.481309369
76,5385299.10593925
77,5383321.78851628
78,5387663.618146337
79,5388538.186207021
80,5391986.883482084
81,5390810.100997823
82,5389916.744672127
83,5389103.510789216
84,5389492.284630133
85,5386304.80912474
86,5399226.117241099
87,5403943.261248383
88,5406314.225630368
89,5407995.539840571
90,5406872.418992587
91,5404379.392386974
92,5402985.244685132
93,5401695.88615102
94,5401583.90715517
95,5400546.098619693
