,0
0,
1,5139694.908886491
2,5122060.151645882
3,5133320.683615214
4,5138071.541312448
5,5121824.51966353
6,5138017.9386589965
7,5137226.946713393
8,5140603.841769594
9,5138831.570143625
10,5125431.5833803965
11,5136911.811254329
12,5135313.593927325
13,5132152.765675906
14,5127452.366274686
15,5138987.818560548
16,5124845.476783707
17,5125778.720174395
18,5140989.368480818
19,5133693.87182674
20,5126911.255223225
21,5141706.23887003
22,5122116.485930251
23,5136147.543990707
24,5130649.783196598
25,5127460.45654339
26,5131803.548703525
27,5138778.932503569
28,5122219.8920558095
29,5138230.675122491
30,5135289.986311331
31,5133166.653530451
32,5137925.734567668
33,5129665.694717703
34,5136410.689919191
35,5136835.483126606
36,5135819.611349945
37,5131435.328999694
38,5139646.413696191
39,5138086.999182053
40,5136075.369584217
41,5137628.106432602
42,5141706.279135275
43,5124473.931696348
44,5133517.042317677
45,5133991.275636185
46,5139853.868954208
47,5131032.268405083
48,5133608.468633819
49,5120912.718760258
50,5128045.124700413
51,5124113.888701328
52,5136740.778379063
53,5130532.183974917
54,5140299.3649555035
55,5125339.463312872
56,5123348.687239414
57,5143099.341242081
58,5126095.440515856
59,5130411.275375026
60,5130034.95993926
61,5133059.855747343
62,5134366.480948585
63,5142613.664401458
64,5130048.181555763
65,5126073.764013388
66,5133116.82885299
67,5138432.80577344
68,5131514.710396747
69,5122758.389268108
70,5141755.40951767
71,5125821.655894672
72,5137228.214239661
73,5129373.8762873225
74,5138753.646367533
75,5129153.8862553565
76,5134919.373074471
77,5133395.558805607
78,5134806.92374774
79,5136249.693595747
80,5139374.054122449
81,5132435.8199506225
82,5133078.169583566
83,5120812.302270521
84,5129276.281019096
85,5133102.538286869
86,5135834.044066055
87,5135093.516940024
88,5128493.991462831
89,5136978.195276083
90,5137248.159657168
91,5137403.655171443
92,5131750.875625292
93,5136664.67114415
94,5123548.984803199
95,5136746.470713813
96,5132712.323113249
97,5127230.853639386
98,5135490.069385614
99,5129149.717264306
100,5139412.311391549
101,5124772.501846791
102,5134420.340772183
103,5136525.787671656
104,5127204.365454811
105,5131878.246263369
