,0
0,
1,5153233.087597171
2,5135608.213595833
3,5146859.631500298
4,5151613.606942597
5,5135367.46227623
6,5151555.10681176
7,5150764.646742341
8,5154139.016672051
9,5152366.380299851
10,5138971.5686209835
11,5150451.231796915
12,5148854.540453449
13,5145695.270865726
14,5140995.8420784995
15,5152532.360621037
16,5138390.130246175
17,5139320.722686971
18,5154526.459655177
19,5147242.476148307
20,5140451.215784926
21,5155244.320061713
22,5135660.527941339
23,5149684.781000291
24,5144196.7177324165
25,5141001.919036128
26,5145341.968770017
27,5152315.251966756
28,5135761.633338239
29,5151766.311646531
30,5148835.887710184
31,5146706.410248211
32,5151471.166418953
33,5143204.607886733
34,5149954.3921164535
35,5150371.823380534
36,5149355.433991917
37,5144974.718244997
38,5153185.605901952
39,5151625.142102565
40,5149616.5681639295
41,5151177.4249512805
42,5155245.457729859
43,5138015.607392221
44,5147058.591729202
45,5147530.43252905
46,5153390.462027678
47,5144570.036035466
48,5147151.747777751
49,5134456.699977374
50,5141585.268618521
51,5137654.675045186
52,5150283.484828586
53,5144073.352883033
54,5153833.913750516
55,5138885.539261541
56,5136891.558692869
57,5156637.417245751
58,5139638.396975206
59,5143948.591721638
60,5143577.204664378
61,5146597.819623343
62,5147902.249372437
63,5156150.298061399
64,5143588.813347815
65,5139614.932114935
66,5146653.697915673
67,5151972.783591273
68,5145055.22132374
69,5136304.434697422
70,5155290.463869252
71,5139365.710208646
72,5150768.495515122
73,5142914.167150997
74,5152292.202492352
75,5142696.857644625
76,5148457.2171966955
77,5146936.2732025115
78,5148348.47840263
79,5149791.748242129
80,5152923.214704744
81,5145975.951427607
82,5146627.906208401
83,5134358.426228911
84,5142817.708177539
85,5146637.349333784
86,5149370.776036115
87,5148630.196223547
88,5142035.681796716
89,5150526.442619186
90,5150784.895449072
91,5150938.712506334
92,5145292.388585094
93,5150209.571611225
94,5137093.430549105
95,5150293.570043574
96,5146263.896182051
97,5140773.299056562
98,5149029.480301103
99,5142693.705979646
100,5152946.432177029
101,5138315.460239106
102,5147957.657393253
103,5150063.8419006
104,5140748.942999379
105,5145415.640930479
