,0
0,
1,5367061.033635038
2,5370555.071526791
3,5369906.743870559
4,5368477.13886275
5,5372093.104504315
6,5369757.676993817
7,5363432.7384565305
8,5365017.596343534
9,5366529.914606419
10,5365859.579536687
11,5368695.450700311
12,5368056.9952300405
13,5368786.947553383
14,5366893.569770046
15,5369248.653449301
16,5373884.731553068
17,5370909.0312805595
18,5371055.941926095
19,5371145.297701623
20,5372569.309867207
21,5373372.870923046
22,5371481.801772896
23,5368970.6332042925
24,5369932.991941427
25,5373438.375117416
26,5374352.975587467
27,5373779.4197635455
28,5371090.080369584
29,5378620.975997527
30,5377768.142141996
31,5375854.276877591
32,5381524.95318874
33,5377125.423959167
34,5376943.053259405
35,5382093.409282985
36,5381554.763752714
37,5377854.591796536
38,5366158.215247245
39,5365635.521064203
40,5363721.695642412
41,5369536.221562393
42,5369261.586088948
43,5372615.71518516
44,5374182.4115913175
45,5366641.765844544
46,5367443.249765381
47,5363760.871957563
48,5361867.073750886
49,5361049.881012959
50,5358173.1360316165
51,5361597.445391846
52,5359750.455140095
53,5358422.012394263
54,5354740.613166869
55,5357096.070482834
56,5361570.038310354
57,5359827.616369585
58,5358232.209902154
59,5356088.697689668
60,5355558.544189771
61,5352015.500619105
62,5353437.014934123
63,5349730.45992594
64,5356238.143980909
65,5350356.762005175
66,5349821.770877953
67,5345378.117411246
68,5348547.664396094
69,5343906.880575055
70,5343339.657979964
71,5360301.426533097
72,5357398.655923884
73,5355533.887226313
74,5353993.425873622
75,5356968.472997057
76,5359364.180343898
77,5357394.71545472
78,5361723.442331041
79,5362553.063495222
80,5366017.312585935
81,5364829.061892818
82,5363946.615073128
83,5363148.198930183
84,5363554.249944679
85,5360379.785933667
86,5373297.774336459
87,5378029.208666176
88,5380411.673212498
89,5382073.57396295
90,5380919.89582804
91,5378435.271464029
92,5377043.618416014
93,5375740.335488201
94,5375648.243514573
95,5374599.266303398
