,0
0,
1,6072261.828020907
2,6072469.285291218
3,6071186.592353516
4,6081379.587130526
5,6077456.249041611
6,6073892.725758021
7,6072173.150166277
8,6072948.180995889
9,6072416.464228184
10,6071981.423856698
11,6071518.493451514
12,6071385.987592384
13,6071748.553372424
14,6070040.724209156
15,6067738.274563826
16,6066836.955291263
17,6068800.913624893
18,6068390.993313545
19,6075382.883881038
20,6074765.507361904
21,6073545.206292713
22,6073529.871443688
23,6074348.234608183
24,6076192.381200291
25,6080879.4910939755
26,6078335.60328264
27,6070523.479062425
28,6070745.687137405
29,6069346.124493232
30,6069732.524776182
31,6071817.6433531
32,6071725.5074717095
33,6071579.903500299
34,6070361.721118263
35,6069424.7980409
36,6070777.21339224
37,6070094.2471938925
38,6068409.187177985
39,6067892.763590728
40,6067886.639988272
41,6066949.184300091
42,6068984.616846011
43,6071382.896409588
44,6070351.225325618
45,6068717.657661622
46,6064879.360949727
47,6063940.716252947
48,6063279.075234843
49,6062929.759947981
50,6065534.369977134
51,6065995.038943224
52,6068067.425976342
53,6065296.398497412
54,6063219.438978115
55,6061708.304423888
56,6076608.951542659
57,6073597.337345343
58,6072694.824732227
59,6072924.841894756
60,6073645.912804372
61,6073569.4407052295
62,6074514.172430061
63,6074257.928483381
64,6075488.111346446
65,6074385.181963992
66,6075265.495932912
67,6075315.594506114
68,6077009.993320907
69,6076716.880653373
70,6077932.01858773
71,6079631.666987292
72,6081766.697341286
73,6085030.092783513
74,6082962.256261348
75,6084453.969277658
76,6085661.369079344
77,6088251.705885774
78,6086826.124365696
79,6087462.991122147
80,6089218.1145283105
81,6089653.305394413
82,6091591.779009486
83,6093587.214758067
84,6092957.834025748
85,6095194.333529508
86,6097437.625991529
