,0
0,
1,5526881.264833245
2,5541247.508555407
3,5544697.092949465
4,5536966.918364491
5,5534262.766724828
6,5534705.652786925
7,5533956.209320502
8,5525164.873221415
9,5522264.690885765
10,5539010.493370252
11,5542305.879338933
12,5542320.880893085
13,5537836.439732177
14,5532438.395205754
15,5539904.532675251
16,5531071.268327038
17,5530467.340031238
18,5534670.8653329
19,5544517.182681201
20,5531779.574015346
21,5526685.683938611
22,5536099.022589017
23,5541899.816534505
24,5536573.672616027
25,5528951.891118266
26,5539182.664517318
27,5550199.448922543
28,5537791.7123944685
29,5530948.811017014
30,5535860.586629532
31,5537373.8693982735
32,5544058.148081935
33,5539935.451045212
34,5539373.774068955
35,5546431.1301994445
36,5537568.549948675
37,5538981.194502873
38,5539602.587898669
39,5534903.54734776
40,5536287.113078219
41,5544549.116938789
42,5528309.058137774
43,5533280.272960775
44,5527947.720159521
45,5532202.489499234
46,5529714.8295857385
47,5545647.267704664
48,5544848.068211566
49,5534839.303608494
50,5530177.03923731
51,5524717.329884755
52,5535465.27900654
53,5529048.770702612
54,5531592.587600496
55,5541300.564839136
56,5533243.988258455
57,5541855.179057752
58,5533834.467275872
59,5543612.481859715
60,5522227.902875361
61,5527471.088878755
62,5529101.436682442
63,5531076.7536918735
64,5543438.581777229
65,5533913.895696305
66,5523877.915340515
67,5543212.883730941
68,5536549.491929697
69,5530616.164623891
70,5530923.917346683
71,5544445.373511367
72,5533936.665353787
73,5525415.857323552
74,5539640.645182145
75,5533329.709158815
76,5529089.224213431
77,5526586.698424987
78,5543587.769061485
79,5522932.517812891
80,5532966.977802496
81,5549025.01530568
82,5544391.7581360815
83,5546536.862033969
84,5523806.551749926
85,5532717.154543821
