,0
0,
1,5754206.064369917
2,5754393.468528853
3,5754849.980278684
4,5755948.194055136
5,5756296.818499242
6,5755329.2452102695
7,5754380.722293922
8,5752364.266865177
9,5753744.04364944
10,5755441.727046477
11,5756497.477022759
12,5757787.270667419
13,5753434.640526621
14,5752102.919600828
15,5756692.202439803
16,5750857.704766229
17,5754880.121997373
18,5758222.29832873
19,5758217.795493287
20,5759945.06225959
21,5759074.266131522
22,5760411.360229324
23,5759709.24819675
24,5761628.040580858
25,5758336.33236162
26,5757053.13222785
27,5758674.253796297
28,5756642.540168186
29,5756201.8839301085
30,5759766.732593817
31,5756805.996638013
32,5752249.851369742
33,5753954.959638122
34,5750461.149319419
35,5761813.032910518
36,5759948.531051828
37,5762092.2801957615
38,5764345.692628013
39,5763369.618666127
40,5761166.943197635
41,5758905.210789199
42,5761469.699296337
43,5758574.058312255
44,5760818.083953367
45,5752368.738403931
