,Neighborhood_FID,geometry,length
0,1,201,12801.761974213903
1,2,92,6650.982142693412
2,3,134,12535.985288837828
3,4,16,1379.0518453144286
4,5,110,10792.081532049664
5,6,16,1106.0094128921367
6,7,142,6712.688467808773
7,8,148,30391.94040255009
8,9,165,36602.466478752365
9,10,2,141.7888232581193
10,11,232,13565.412165236878
11,12,49,5823.836100341662
12,13,107,5259.7795687984035
13,14,76,6694.169297046162
14,15,124,10148.86014395758
15,16,64,6877.866352968567
16,17,59,3827.747214500192
17,18,93,10539.019801744278
18,19,84,15280.122796371328
19,20,103,3631.3302431029797
20,21,31,7992.022238659435
21,22,238,13952.724624258304
22,23,108,8668.46474388181
23,24,392,16704.82344666142
24,25,32,5359.292332533811
25,26,76,6144.69928703514
26,27,27,3452.7913488120716
27,28,30,2043.6298396124457
28,29,61,7393.443401565537
29,30,278,13364.48409602449
30,31,190,11909.000872633489
31,32,7,481.72037076311653
32,33,40,2128.0335087481544
33,34,236,10435.853510222716
34,35,32,5169.800204441611
35,36,226,7204.698474842533
36,37,152,5539.5283900322065
37,38,615,20722.89985591925
38,39,459,29387.81258408711
39,40,182,8134.010197182075
40,41,53,8438.439205896935
41,42,63,4776.908863474742
42,43,162,10865.86010230733
43,44,40,1292.3885667631216
44,45,84,3904.638639068729
45,46,2,1867.9714785336275
46,47,38,4165.982197180566
47,48,23,3687.4535636979745
48,49,359,29626.10579894446
49,50,78,13722.723429162506
50,51,9,1879.6775418946647
51,52,56,7906.001883398147
52,53,372,18568.978954647566
53,54,97,12065.24207530797
54,55,126,5279.896384311155
55,56,10,597.90362713273
56,57,102,5821.789725568501
57,58,179,10887.31149117149
58,59,57,5565.035733962833
59,60,97,5999.648005333884
60,61,18,2200.484976564274
61,62,71,3134.9101469073867
62,63,180,17113.541732628375
63,64,27,831.4267708197897
64,65,12,2037.0425633458567
65,66,99,4523.852317850432
66,67,68,14858.664858096847
67,68,55,2006.1953643369607
68,69,174,13704.160465678751
69,70,114,15866.146622801833
70,71,24,838.9044857741611
71,72,52,3751.7150689980217
72,73,97,4780.890880522062
73,74,82,6259.075808212347
74,75,68,6102.684911995075
75,76,176,20355.120197983328
76,77,151,5899.296245758111
77,78,15,1263.8317569028711
78,79,52,6305.712750583872
79,80,51,5416.471839698208
80,81,17,4788.280583951263
81,82,24,4048.5840563395227
82,83,74,2234.6785755504757
83,84,127,6209.07766820177
84,85,129,8834.666268156123
85,86,36,3358.096914824886
