Neighborhood_FID,Bare vegetation,Built-up,Cropland,Grassland,Herbaceous wetland,Permanent water bodies,Shrubland,Tree Cover
1.0,30,2152,5,546,0,128,0,2211
2.0,558,6136,236,1240,0,2176,0,4572
3.0,12,3944,0,14,0,1060,0,402
4.0,112,20674,14,879,0,72,0,3207
5.0,372,9520,88,2020,0,0,0,4318
6.0,325,12749,43,4237,0,3324,0,10334
7.0,206,8373,108,2959,0,0,0,3670
8.0,801,8917,29,2167,0,0,0,43701
9.0,202,2660,85,3155,0,0,0,21760
10.0,148,15979,8,266,0,371,0,5235
11.0,194,22055,21,2175,0,14,0,16645
12.0,1559,38678,477,8712,0,244,0,30642
13.0,46,14660,10,531,0,1678,0,25397
14.0,2281,88533,4030,17377,0,7852,6,185299
15.0,691,28305,78394,43325,0,159,0,91371
16.0,42,1676,5,533,0,0,0,24866
17.0,69,23036,4,86,0,857,0,7767
18.0,1217,50742,39262,22040,0,43,2,63830
19.0,130,20981,124,4295,0,0,0,25499
20.0,244,13240,868,7340,0,54,0,24846
21.0,140,5307,14,556,0,12,0,6434
22.0,1010,20291,7221,3815,0,36,3,19151
23.0,252,2075,3266,8272,5,71,0,11210
24.0,1041,25082,4630,10180,0,3,0,33287
25.0,597,5132,326,3612,0,36,1,17251
26.0,377,14172,6,2176,0,581,0,6538
27.0,351,9677,541,4301,0,72,0,17394
28.0,129,9281,105,2202,0,3823,0,6999
29.0,53,8218,30,3845,0,235,0,24435
30.0,93,9007,110,531,0,841,0,3135
31.0,4,1051,2178,5335,0,0,0,23276
32.0,6,375,0,15,0,0,0,10324
33.0,914,14211,29,1444,0,0,0,63382
34.0,178,1830,3,246,289,790,0,66513
35.0,173,4867,19396,7042,71,157,0,14266
36.0,489,10671,3586,4843,0,83,1,17405
37.0,646,5388,26084,2755,0,0,0,4809
38.0,537,9977,27131,6173,0,0,0,10878
39.0,1067,19812,19584,7846,0,0,0,11909
40.0,243,20440,2189,6785,2,293,0,29248
41.0,1140,19497,27323,12022,2,930,1,22743
42.0,331,14698,26594,5979,0,55,0,18162
43.0,806,25060,6536,5932,0,3206,0,6826
44.0,231,22434,19177,4724,0,0,0,16907
45.0,538,65020,2,23234,0,0,0,36483
46.0,296,4069,3052,4819,0,2582,0,9162
