Neighborhood_FID,Bare vegetation,Built-up,Cropland,Grassland,Herbaceous wetland,Permanent water bodies,Shrubland,Tree Cover
1.0,29,1999,10,754,0,326,0,28072
2.0,186,19903,151,5246,0,213,0,48085
3.0,1103,16649,3985,15840,0,830,8,18775
4.0,333,20561,38,2001,0,0,11,14815
5.0,161,33265,27,1575,0,268,0,15466
6.0,82,1855,10,890,0,370,3,5205
7.0,27,5588,22,557,0,0,0,6585
8.0,430,42235,12458,24194,0,0,0,83203
9.0,22,28280,2,34819,2,0,1,40039
10.0,148,1634,3,1410,0,0,0,1884
11.0,2172,32685,1825,8091,1,6650,142,16542
12.0,298,17797,433,3777,0,5231,0,8886
13.0,109,14476,737,1508,0,5889,0,7093
14.0,370,15258,171,4364,0,9082,1,11868
15.0,309,12960,722,5076,0,6498,9,11876
16.0,859,13066,981,1879,0,51,0,21224
17.0,259,10037,638,3551,0,339,9,22619
18.0,192,45997,0,4894,0,1749,4,55602
19.0,1666,11177,9296,10060,0,9239,0,7963
20.0,52,2974,47,549,0,0,0,7630
21.0,442,31474,9169,12041,4,21633,36,54342
22.0,74,8425,5688,2961,0,0,0,11558
23.0,237,22545,35,4812,0,48,0,23674
24.0,246,9477,349,1637,0,1750,0,11128
25.0,754,14983,3928,10425,0,11001,0,33931
26.0,2188,60901,1331,10555,0,2712,9,42943
27.0,1012,20465,63094,16333,6,0,0,36686
28.0,246,45174,18,2735,0,114,0,28735
29.0,627,27770,983,10368,0,6282,0,53486
30.0,169,7950,856,2490,0,1,0,12144
31.0,409,7635,5736,3722,0,5172,0,12211
32.0,31,4039,21,619,0,0,1,6857
33.0,207,1855,1554,6219,1,593,0,6512
34.0,108,5655,2116,4058,12,734,0,12762
35.0,1322,15050,21138,12135,1,996,0,25506
36.0,43,7064,5,1053,0,0,0,43600
37.0,268,13589,2999,7293,13,2506,0,49766
38.0,523,13001,3203,7837,4,7,0,12503
39.0,667,43147,219,2649,0,10343,0,13677
40.0,171,7981,1,2387,0,2652,0,10700
41.0,266,11581,392,3605,0,0,0,19903
42.0,19,616,0,353,0,0,0,40616
43.0,253,15718,150,1267,0,1702,0,9475
44.0,15,167,0,31,0,14,0,11941
45.0,282,12931,48,996,0,0,0,7687
46.0,94,2980,89,559,1,2275,0,4984
47.0,401,7333,13865,4329,0,0,0,17611
48.0,166,4805,4773,728,0,3067,1,5660
49.0,508,26351,715,3225,0,2186,5,19426
50.0,109,7399,1,1572,6,692,0,21147
51.0,63,811,0,2082,0,1,0,14724
52.0,193,4244,77,3186,0,1938,0,40669
53.0,68,7854,0,621,0,0,0,25424
54.0,58,9125,119,1784,0,0,0,19904
55.0,155,11099,395,2575,0,4669,0,4421
56.0,332,5655,960,6750,0,0,0,20868
57.0,535,14578,4063,9512,0,535,0,32419
58.0,555,30619,75,7524,0,80,0,43176
59.0,250,20870,76,2047,0,742,0,12572
60.0,6,4,0,33,0,0,0,520
61.0,12,1390,1,646,0,71,0,4262
62.0,55,1618,6134,1456,0,0,0,6937
63.0,14,4090,0,3040,0,16,0,22784
64.0,21,7160,456,635,0,0,0,9538
65.0,56,7345,33,1691,0,0,0,22926
66.0,23,3366,4,159,0,0,0,15240
67.0,890,20611,24067,16285,25,5674,0,53908
68.0,23,2071,1,741,0,0,0,15126
69.0,58,13912,5,6349,0,14,0,58292
70.0,136,8570,5437,4361,0,0,0,23641
71.0,222,6192,574,3529,1,4656,0,13160
72.0,207,4731,29,778,0,0,0,2573
73.0,16,246,0,1090,0,0,0,21573
74.0,608,13026,1833,3603,0,66,3,19947
75.0,102,15183,29,1919,0,0,0,12447
76.0,611,20021,7018,5291,0,3540,0,23512
77.0,197,0,10,512,0,0,0,75643
78.0,136,6251,195,877,0,0,0,9992
79.0,16,82,0,6307,0,0,0,21751
80.0,144,7039,36,4121,0,0,0,19150
81.0,1279,9052,63770,14446,1,3972,2,24753
82.0,230,8337,20187,5238,0,1352,0,14017
83.0,325,3606,16649,3576,0,0,0,7884
84.0,55,59,0,417,0,0,0,9217
85.0,243,9134,7654,7772,0,0,0,26878
86.0,216,7372,1947,4915,0,0,0,13756
