,Neighborhood_FID,buildings_total_units,n_occupied_by_owner,n_ownership_with_current_household,n_owned_without_current_household,n_rented_for_residential_purposes,n_rented_with_current_household,n_rented_without_current_household,n_vacation_and_leisure,n_vacant,n_diplomatic_army,n_commercial_use,we_private_individuals,we_private_companies_legal_entities,we_public_companies,we_housing_cooperative,we_does_not_apply_since_no_condominium,w_less_30,w_30_60,w_60_100,w_100_and_more,w_gewerblich,r_1,r_2,r_3,r_4,r_5,r_6,r_7_and_more,r_gewerblich,gs_buildings_with_living_space,gs_residential_buildings,gs_residential_buildings_no_dormitories,gs_dormitory,gs_other_building_with_living_space,j_before_1919,j_1919_1948,j_1949_1978,j_1979_1995,j_1996_2008,j_2009_and_later,e_community_of_apartment_owners,e_private_persons,e_housing_cooperative,e_municipality_housing_company,e_private_housing_company,e_other_private_company,e_federal_or_state_government,e_nonprofit_organization,gt_detached_house,gt_semidetached_house,gt_terraced_house,gt_other_type_of_building,gg_detached_single_family_house,gg_onefamily_semidetached,gg_onefamily_terraced_house,gg_detached_twofamily,gg_twofamily_semidetached_house,gg_twofamily_terraced_house,gg_apartment_3_6,gg_apartment_7_12,gg_apartment_13,gg_other_building_type,h_district,h_floor,h_block,h_central,h_stoves_night,h_no_heating,z_1_apart,z_2_apart,z_3_6_apart,z_7_12_apart,z_13_and_more_apart,families_total_units,famk_couple_wout_child,famk_couple_1_child_less_18,famk_couple_children_more_18,famk_reg_partner_wout_child,famk_reg_partner_1_child_less_18,famk_reg_partner_children_more_18,famk_nonmarital_wout_child,famk_nonmarital_1_child_less_18,famk_nonmarital_children_more_18,famk_fathers_1_child_less_18,famk_fathers_children_more_18,famk_mothers_1_child_less_18,famk_mothers_children_more_18,famk_wout_child,famk_with_child,famk_single_parent,famk_couple,famk_reg_partner,famk_nonmarital,famk_fathers,famk_mothers,famgr_2_pers,famgr_3_pers,famgr_4_pers,famgr_5_pers,famgr_6_more,fams_seniors_only_x,fams_seniors_young_x,fams_wout_seniors_x,households_total_units,hhtyp_single,hhtyp_couples_wout_child,hhtyp_couples_with_child,hhtyp_single_parent,hhtyp_multiplepers_wout_nuclear,hhleb_single,hhleb_married_couples,hhleb_registered_partner,hhleb_nonmarital_partner,hhleb_single_mothers,hhleb_single_fathers,hhleb_multipers_wout_nuclear,hhgr_1_pers,hhgr_2_pers,hhgr_3_pers,hhgr_4_pers,hhgr_5_pers,hhgr_6_more,fams_seniors_only_y,fams_seniors_young_y,fams_wout_seniors_y,population_total_units,al_10_under,al_10_19,al_20_29,al_30_39,al_40_49,al_50_59,al_60_69,al_70_79,al_80_over,alk_18_under,alk_18_29,alk_30_49,alk_50_64,alk_65_over,fam_single,fam_married,fam_widowed,fam_divorced,fam_civil_partner,fam_civil_partner_deceased,fam_civil_partner_dissolved,fam_unknown,geb_germany,geb_eu27,geb_other_europe,geb_other_world,geb_other,ght_male,ght_female,re_roman_catholic,re_protestant,re_other,sg_germany,sg_eu27,sg_other_europe,sg_other_world,sg_other,sh_germany,sh_bosnia,sh_greece,sh_italy,sh_kazakhstan,sh_croatia,sh_netherlands,sh_austria,sh_poland,sh_romania,sh_russia,sh_turkey,sh_ukraine,sh_other,sk_germany,sk_abroad,sz_one,sz_mult_german_foreign,sz_mult_foreign_only,sz_unknown,Land_Value,Area_Types,Area_Count,City_Name
0,1.0,457,0,172,0,0,256,0,0,6,0,0,205,3,0,0,249,3,68,196,74,0,0,77,118,110,55,49,33,0,0,0,453,0,3,79,79,17,164,50,0,210,242,0,0,3,0,0,0,359,52,34,10,87,32,9,74,0,0,172,72,0,10,6,31,0,395,14,0,132,82,175,72,0,308,111,54,27,0,0,0,48,20,0,0,0,6,3,0,0,0,0,0,0,0,0,177,75,19,3,0,37,26,229,440,121,156,120,19,13,121,204,0,67,19,0,13,121,174,80,27,6,0,0,0,0,957,82,64,124,151,166,122,123,90,34,135,134,326,197,189,405,444,45,64,0,0,0,0,911,9,6,9,3,475,478,21,156,777,948,3,0,0,0,948,0,0,0,0,0,0,3,0,0,0,0,0,0,948,6,948,10,0,0,207.6,Residential,4,Dresden
1,2.0,37,0,23,0,0,12,0,0,0,0,0,10,0,0,0,27,0,0,6,3,0,0,0,3,7,3,3,3,0,0,0,37,0,0,11,6,0,6,9,0,10,27,0,0,0,0,0,0,29,6,3,0,6,3,3,13,3,0,11,0,0,0,0,0,0,31,0,0,10,16,11,0,0,28,9,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,3,0,21,35,3,12,5,3,0,3,21,0,3,0,0,0,3,10,0,4,0,0,0,0,0,91,6,3,6,9,19,18,6,6,0,7,7,30,22,18,27,52,3,6,0,0,0,0,87,0,0,0,0,39,46,6,10,69,91,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,91,0,0,0,55.0,CommercialBuildingArea_Residential,2,Dresden
2,4.0,2606,0,0,0,0,2576,0,0,28,0,0,0,0,0,0,2601,249,1372,933,0,0,247,393,982,846,115,0,0,0,0,0,2606,0,0,0,0,2605,0,0,0,0,0,1348,0,1235,0,0,0,214,0,1150,1235,0,0,0,0,0,0,0,508,853,1235,2597,0,0,0,0,0,0,0,0,966,1628,903,547,56,42,0,0,0,134,36,0,0,0,44,25,0,0,0,0,0,0,0,0,755,107,27,3,0,415,87,404,2577,1638,681,135,84,35,1638,645,0,172,76,0,35,1638,759,126,31,3,0,0,0,0,3620,116,96,618,270,298,353,335,1045,471,190,653,573,489,1716,1306,1354,483,473,3,0,0,0,3329,94,70,110,12,1577,2043,99,439,3082,3493,15,43,58,0,3493,0,0,0,0,0,0,0,3,0,7,0,9,90,3493,127,3535,80,0,0,664.3,AgriculturalArea_MixedUseArea_Residential,3,Dresden
3,6.0,7208,0,783,0,0,6090,50,0,249,0,0,1251,61,5,28,5843,55,2387,3765,535,0,111,569,2555,2613,921,211,105,0,0,0,7106,0,99,2053,3810,395,247,416,3,1363,2363,2047,21,674,417,0,3,2306,1107,3584,168,94,137,194,96,65,28,2462,3294,590,168,2054,551,30,4289,90,0,467,212,2513,3385,612,3811,1516,687,212,0,0,0,432,417,0,6,3,309,73,0,0,0,0,0,0,0,0,2299,890,494,75,6,751,286,2761,6892,2913,1943,1366,490,131,2913,2442,0,856,449,18,131,2913,2328,954,530,83,12,0,0,0,13152,1494,896,1815,1934,2108,1430,1366,1324,759,2241,1976,4038,2048,2850,6117,5224,817,992,9,0,0,0,12639,202,69,127,24,6311,6836,463,2012,10666,12940,48,40,62,0,12940,0,3,3,0,0,0,0,3,3,12,6,6,107,12940,188,12972,176,0,0,456.0,AgriculturalArea_CommercialBuildingArea_Residential,23,Dresden
4,7.0,98,0,65,0,0,15,0,0,3,0,0,3,0,0,0,95,0,0,15,24,0,0,0,3,24,14,18,12,0,0,0,96,0,0,27,9,0,13,25,3,3,95,0,0,0,0,0,0,90,3,0,0,61,3,0,35,0,0,0,0,0,0,0,0,0,86,0,0,68,35,0,0,0,67,32,16,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,37,9,10,0,0,12,6,46,89,12,34,22,3,0,12,51,0,3,3,0,0,12,36,9,10,0,0,0,0,0,235,21,18,22,21,41,47,12,25,12,33,29,56,64,47,80,141,6,8,0,0,0,0,223,4,3,3,0,123,110,18,68,142,228,5,3,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,3,228,8,232,0,0,0,194.2,AgriculturalArea_Residential,2,Dresden
5,8.0,1120,0,555,0,0,483,11,0,53,0,0,270,28,0,0,823,11,159,481,248,0,18,72,218,333,213,112,87,0,0,0,1101,0,16,134,359,35,183,243,14,299,721,0,0,72,13,0,0,723,177,96,120,186,126,50,158,38,12,247,181,14,120,140,51,28,810,38,12,383,209,255,278,14,708,327,107,77,0,0,0,36,46,0,0,0,24,6,0,0,0,0,0,0,0,0,415,150,82,9,0,121,66,492,1048,325,377,271,46,9,325,531,0,110,36,0,9,325,408,157,90,15,6,0,0,0,2241,186,158,282,228,368,400,290,217,80,324,311,603,537,472,855,1116,119,138,0,0,0,0,2173,36,0,9,0,1125,1111,55,413,1757,2217,12,3,4,0,2217,0,0,3,0,0,0,0,3,0,0,0,0,7,2217,22,2223,18,0,0,278.9,AgriculturalArea_Residential,14,Dresden
6,10.0,571,0,164,0,0,361,0,0,37,0,0,149,3,0,0,421,10,162,232,91,0,6,47,210,157,69,42,22,0,0,0,559,0,10,217,157,19,48,85,3,153,310,24,0,47,31,0,3,465,95,9,0,45,32,6,57,10,3,205,154,58,0,13,25,26,468,7,0,86,67,205,154,58,321,150,74,3,0,0,0,24,19,0,6,0,16,0,0,0,0,0,0,0,0,0,204,51,46,9,0,56,18,235,528,195,178,106,32,6,195,232,0,52,26,6,6,195,193,65,48,12,0,0,0,0,1065,117,70,123,160,160,169,127,107,44,179,131,318,233,212,444,480,50,73,6,0,0,0,1028,12,4,12,0,508,554,30,195,838,1049,6,0,3,0,1049,0,0,0,0,0,0,0,0,0,0,0,0,4,1049,11,1049,17,0,0,333.9,AgriculturalArea_Residential,8,Dresden
7,11.0,17,0,6,0,0,8,0,0,0,0,0,0,0,0,0,17,0,0,6,0,0,0,0,7,3,0,0,0,0,0,0,14,0,3,9,5,0,3,0,0,0,17,0,0,0,0,0,0,3,3,9,3,0,0,0,3,3,3,6,0,0,3,0,4,0,9,0,0,0,10,6,0,0,9,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,15,9,3,3,0,0,9,3,0,3,0,0,0,9,3,0,0,0,0,0,0,0,33,7,0,6,4,8,0,0,0,0,7,6,14,0,0,23,9,0,0,0,0,0,0,33,0,0,0,0,18,16,0,3,30,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,80.0,Residential,1,Dresden
8,12.0,585,0,238,0,0,315,14,0,3,0,0,274,0,0,0,309,0,127,187,102,0,13,67,147,112,83,72,43,0,0,0,577,0,3,36,28,33,210,214,3,275,296,0,0,0,0,0,0,454,74,32,23,146,46,0,69,6,0,45,126,124,23,8,15,3,533,3,0,198,80,54,134,124,394,202,66,37,0,0,0,12,13,0,0,0,6,0,0,0,0,0,0,0,0,0,244,75,54,3,0,76,47,257,564,160,215,147,22,6,160,327,0,30,12,0,6,160,237,79,54,3,0,0,0,0,1212,94,73,102,112,207,226,169,159,65,155,115,327,317,304,388,682,77,65,3,0,0,0,1188,3,0,0,0,591,616,14,146,1046,1210,0,0,0,0,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,0,1208,3,0,0,268.7,MixedUseArea_Residential,8,Dresden
9,13.0,7392,0,467,0,0,6355,79,0,414,0,0,765,54,0,10,6543,130,4201,2436,217,0,77,700,2780,2830,693,172,34,0,0,0,7211,50,126,856,1651,3997,380,267,16,835,1265,2582,10,2475,43,0,3,1744,438,2953,2233,78,53,87,78,18,6,1169,3067,558,2233,4843,229,177,1982,43,0,229,113,1205,4727,1089,3489,1704,373,167,0,0,0,325,215,12,12,9,375,120,0,0,0,0,0,0,0,0,2506,597,291,31,6,982,305,2173,6857,3235,2045,836,578,112,3235,2286,0,597,517,31,112,3235,2564,615,305,41,12,0,0,0,12564,989,738,1717,1319,1690,1398,1914,1877,873,1593,1881,3024,2152,3921,5105,4957,1121,1360,9,0,0,0,11980,228,56,132,75,5904,6662,317,1298,10928,12367,59,23,71,0,12367,0,10,0,0,0,0,0,6,0,0,0,9,118,12367,185,12421,122,0,0,348.8,Residential,3,Dresden
