,Neighborhood_FID,buildings_total_units,n_occupied_by_owner,n_ownership_with_current_household,n_owned_without_current_household,n_rented_for_residential_purposes,n_rented_with_current_household,n_rented_without_current_household,n_vacation_and_leisure,n_vacant,n_diplomatic_army,n_commercial_use,we_private_individuals,we_private_companies_legal_entities,we_public_companies,we_housing_cooperative,we_does_not_apply_since_no_condominium,w_less_30,w_30_60,w_60_100,w_100_and_more,w_gewerblich,r_1,r_2,r_3,r_4,r_5,r_6,r_7_and_more,r_gewerblich,gs_buildings_with_living_space,gs_residential_buildings,gs_residential_buildings_no_dormitories,gs_dormitory,gs_other_building_with_living_space,j_before_1919,j_1919_1948,j_1949_1978,j_1979_1995,j_1996_2008,j_2009_and_later,e_community_of_apartment_owners,e_private_persons,e_housing_cooperative,e_municipality_housing_company,e_private_housing_company,e_other_private_company,e_federal_or_state_government,e_nonprofit_organization,gt_detached_house,gt_semidetached_house,gt_terraced_house,gt_other_type_of_building,gg_detached_single_family_house,gg_onefamily_semidetached,gg_onefamily_terraced_house,gg_detached_twofamily,gg_twofamily_semidetached_house,gg_twofamily_terraced_house,gg_apartment_3_6,gg_apartment_7_12,gg_apartment_13,gg_other_building_type,h_district,h_floor,h_block,h_central,h_stoves_night,h_no_heating,z_1_apart,z_2_apart,z_3_6_apart,z_7_12_apart,z_13_and_more_apart,families_total_units,famk_couple_wout_child,famk_couple_1_child_less_18,famk_couple_children_more_18,famk_reg_partner_wout_child,famk_reg_partner_1_child_less_18,famk_reg_partner_children_more_18,famk_nonmarital_wout_child,famk_nonmarital_1_child_less_18,famk_nonmarital_children_more_18,famk_fathers_1_child_less_18,famk_fathers_children_more_18,famk_mothers_1_child_less_18,famk_mothers_children_more_18,famk_wout_child,famk_with_child,famk_single_parent,famk_couple,famk_reg_partner,famk_nonmarital,famk_fathers,famk_mothers,famgr_2_pers,famgr_3_pers,famgr_4_pers,famgr_5_pers,famgr_6_more,fams_seniors_only_x,fams_seniors_young_x,fams_wout_seniors_x,households_total_units,hhtyp_single,hhtyp_couples_wout_child,hhtyp_couples_with_child,hhtyp_single_parent,hhtyp_multiplepers_wout_nuclear,hhleb_single,hhleb_married_couples,hhleb_registered_partner,hhleb_nonmarital_partner,hhleb_single_mothers,hhleb_single_fathers,hhleb_multipers_wout_nuclear,hhgr_1_pers,hhgr_2_pers,hhgr_3_pers,hhgr_4_pers,hhgr_5_pers,hhgr_6_more,fams_seniors_only_y,fams_seniors_young_y,fams_wout_seniors_y,population_total_units,al_10_under,al_10_19,al_20_29,al_30_39,al_40_49,al_50_59,al_60_69,al_70_79,al_80_over,alk_18_under,alk_18_29,alk_30_49,alk_50_64,alk_65_over,fam_single,fam_married,fam_widowed,fam_divorced,fam_civil_partner,fam_civil_partner_deceased,fam_civil_partner_dissolved,fam_unknown,geb_germany,geb_eu27,geb_other_europe,geb_other_world,geb_other,ght_male,ght_female,re_roman_catholic,re_protestant,re_other,sg_germany,sg_eu27,sg_other_europe,sg_other_world,sg_other,sh_germany,sh_bosnia,sh_greece,sh_italy,sh_kazakhstan,sh_croatia,sh_netherlands,sh_austria,sh_poland,sh_romania,sh_russia,sh_turkey,sh_ukraine,sh_other,sk_germany,sk_abroad,sz_one,sz_mult_german_foreign,sz_mult_foreign_only,sz_unknown,Land_Value,Area_Types,Area_Count,City_Name
0,1,7055,0,1920,42,0,4612,193,0,240,0,0,2786,23,0,0,4222,139,1747,3588,962,0,412,939,2181,2179,656,362,185,0,0,0,6625,83,338,230,394,3550,1539,599,247,2825,2051,742,376,685,36,0,72,1063,1332,3921,683,116,141,443,76,65,133,1953,1696,1650,683,457,573,424,5133,217,14,747,286,2028,1826,2106,3593,1217,958,382,3,0,0,314,62,9,9,21,271,149,0,0,0,0,0,0,0,0,1901,879,565,147,30,445,422,2700,6544,2812,1561,1503,527,113,2812,2589,3,448,453,42,113,2812,1917,894,582,183,63,0,0,0,13743,1361,1319,1766,2051,2220,1826,1346,1213,650,2363,2083,4263,2529,2517,5675,5855,930,1223,41,0,0,0,9354,1237,1483,1166,480,6512,7229,4581,2285,6875,11077,854,1339,439,6,11077,31,220,217,7,33,9,23,79,9,88,861,58,872,11077,2667,11163,2531,21,6,788.8,CommercialArea_CoreArea_Farmland_GreenArea_Residential_SpecialUseArea,25,Köln
1,2,6485,0,2858,32,0,3325,52,0,141,0,0,3318,33,13,0,3098,224,1009,2574,1928,0,302,864,1515,1657,886,572,598,0,0,0,6351,0,137,74,494,2876,1556,848,116,3392,2832,0,0,56,9,22,37,2256,945,2527,709,525,320,550,302,140,167,1691,938,1109,709,1316,194,4,4615,63,16,1441,614,1755,956,1710,3182,1158,959,229,0,0,0,321,43,3,3,9,139,51,0,0,0,0,0,0,0,0,1730,678,620,85,12,415,368,2363,6181,2790,1521,1353,289,166,2790,2406,0,426,234,18,166,2790,1806,692,639,116,40,0,0,0,12536,1382,1022,1683,1875,2338,1537,1299,962,428,2238,1856,4220,2167,2071,5799,5353,541,812,20,0,0,0,10625,708,265,637,175,6153,6356,4981,2676,4858,11448,491,203,312,0,11448,13,21,29,0,10,3,6,89,0,15,86,9,581,11448,1083,11797,719,0,0,874.9,CommercialArea_Farmland_ForestryArea_GreenArea_MixedUseArea_OtherSpecialArea_Residential_SpecialUseArea,32,Köln
2,3,3571,0,2010,22,0,1367,62,0,54,0,0,819,3,0,0,2740,11,376,1121,1621,0,63,330,554,819,780,596,346,0,0,0,3467,8,96,66,66,1614,369,767,322,836,2446,5,133,36,26,0,0,848,700,1872,121,324,405,1022,189,77,175,731,381,136,121,91,193,145,2897,107,0,1799,454,785,410,136,2409,790,900,204,0,0,0,148,37,0,6,3,98,43,0,0,0,0,0,0,0,0,1099,608,526,106,18,293,233,1875,3389,910,953,1213,216,43,910,1916,0,239,181,18,43,910,1097,609,523,132,41,0,0,0,8232,1179,910,673,1182,1685,997,689,641,262,1944,831,2875,1351,1249,3269,4154,382,412,15,0,0,0,6983,395,366,319,107,4054,4182,3310,1508,3401,7495,261,325,97,0,7495,3,17,50,3,3,6,3,3,0,9,222,12,233,7495,724,7405,809,6,0,468.4,CommercialArea_Farmland_ForestryArea_GreenArea_MixedUseArea_Residential_SpecialUseArea,18,Köln
3,4,3788,0,766,6,0,2793,27,0,166,0,0,593,6,86,0,3090,143,832,1907,489,0,219,622,1301,906,346,146,141,0,0,0,3753,0,33,196,305,2779,194,122,60,692,1371,10,1269,228,6,0,3,634,560,2446,130,114,60,266,77,58,139,1437,1222,273,130,243,383,1308,1513,175,0,462,260,1453,1230,370,2156,896,474,173,0,0,0,177,35,0,6,7,158,104,0,0,0,0,0,0,0,0,1304,457,267,78,6,467,242,1445,3577,1331,1085,754,327,79,1331,1562,0,249,282,20,79,1331,1316,480,297,86,21,0,0,0,7501,649,780,839,867,1203,936,861,1012,363,1260,1006,2067,1340,1829,2824,3488,576,604,9,0,0,0,5648,572,717,415,141,3587,3905,3387,1266,2843,6420,187,716,154,0,6420,52,3,33,9,12,9,4,42,3,25,456,27,322,6420,1082,6396,1092,9,0,286.0,AgriculturalArea_CommercialArea_Farmland_GreenArea_Residential_SpecialUseArea,25,Köln
4,5,6845,0,2898,5,0,3689,46,0,96,0,0,784,3,0,0,6028,61,1272,2913,1716,0,219,692,1486,1832,1089,813,558,0,0,0,6737,6,96,77,1273,3596,740,636,33,798,4085,259,574,693,154,0,9,1112,1858,3112,703,323,953,1017,264,455,386,1507,773,422,703,207,944,411,4795,158,77,2396,1104,2038,880,422,4231,1562,1084,507,3,0,0,224,115,0,6,12,271,155,0,0,0,0,0,0,0,0,2239,959,737,162,15,701,568,2949,6610,2199,1827,1773,610,142,2199,3165,3,384,498,48,142,2199,2261,1000,743,215,80,0,0,0,14995,1372,1750,1602,1524,2459,2240,1541,1591,941,2731,1980,3980,3056,3249,5739,6941,1199,1099,33,0,0,0,12653,681,912,464,211,7217,7771,6630,2573,5794,13327,369,1017,181,0,13327,0,14,134,0,7,3,3,49,3,25,845,17,380,13327,1644,13804,1176,7,0,652.8,Farmland_ForestryArea_Residential_SpecialUseArea,20,Köln
5,6,3128,0,406,0,0,2637,16,0,57,0,0,734,12,0,6,2370,147,1148,1520,179,0,298,573,1134,844,155,34,34,0,0,0,3027,0,99,207,364,1758,220,442,3,752,1157,383,318,397,0,0,7,191,51,2791,77,6,6,51,6,9,38,564,1434,911,77,91,696,219,2011,34,0,69,60,579,1444,961,1272,439,286,75,0,0,0,160,39,0,6,3,140,76,0,0,0,0,0,0,0,0,783,267,158,36,13,160,104,1003,3044,1674,607,409,245,96,1674,812,0,202,217,22,96,1674,853,270,161,43,17,0,0,0,5423,453,458,794,939,904,681,483,443,269,827,882,1841,949,929,2667,1859,371,515,12,0,0,0,4374,322,374,234,115,2598,2827,2030,830,2565,4556,299,435,121,0,4556,6,22,119,0,6,9,3,31,3,9,320,12,279,4556,865,4953,456,3,0,1280.4,CommercialArea_OtherSpecialArea_Residential_SpecialUseArea,7,Köln
6,7,5092,0,959,29,0,3921,45,3,100,0,0,1563,90,23,3,3380,235,1364,2203,995,0,410,758,1484,1288,726,150,191,0,0,0,4868,42,176,620,549,2374,575,671,39,1691,1769,3,168,1007,119,46,4,654,277,3378,754,30,26,198,22,22,125,1125,1521,1220,754,913,1107,169,2672,37,12,279,184,1160,1596,1842,2185,765,553,132,6,0,0,306,72,9,3,0,180,66,0,0,0,0,0,0,0,0,1317,465,282,88,13,282,215,1689,4891,2558,1109,793,276,140,2558,1464,6,406,253,12,140,2558,1382,502,305,90,26,0,0,0,8777,854,625,1205,1581,1617,955,848,719,368,1369,1320,3196,1400,1497,4269,3317,445,663,78,0,0,0,7060,665,400,499,150,4186,4593,3076,1637,4057,7563,579,377,249,0,7563,6,43,154,0,3,12,15,48,13,31,238,12,536,7563,1213,8042,712,10,0,2447.8,CommercialArea_CoreArea_GreenArea_OtherSpecialArea_Residential,9,Köln
7,8,4407,0,1654,44,0,2476,96,0,88,0,0,1416,0,6,0,2970,37,826,2276,858,0,117,505,1225,1278,646,307,185,0,0,0,4246,17,142,97,136,2966,588,339,22,1430,2235,87,32,402,72,0,0,1604,539,2041,196,306,164,439,182,75,73,1047,1208,653,196,57,507,21,3424,201,6,954,360,1101,1266,704,2502,999,582,255,0,0,0,189,51,0,12,3,183,84,0,0,0,0,0,0,0,0,1452,594,342,56,18,401,282,1808,4144,1564,1211,928,358,40,1564,1838,0,286,297,30,40,1564,1431,624,356,68,24,0,0,0,8553,769,820,1017,1021,1362,1305,1064,838,369,1402,1191,2365,1890,1695,3210,4046,585,702,9,0,0,0,6610,655,536,469,259,4059,4494,3413,1543,3592,7455,388,522,171,0,7455,19,31,95,0,14,6,3,58,3,23,350,21,355,7455,1096,7429,1089,12,0,132.4,AgriculturalArea_CommercialArea_Farmland_ForestryArea_Residential_SpecialUseArea,22,Köln
8,9,2609,0,980,13,0,1495,32,0,34,0,0,769,7,3,0,1830,24,535,1292,465,0,71,261,670,806,387,232,130,0,0,0,2575,0,32,26,51,2041,286,70,0,779,1372,178,3,189,4,0,0,776,435,1206,178,195,135,200,158,89,97,791,707,64,178,109,260,17,2076,46,0,547,332,905,727,92,1444,571,361,145,0,0,0,95,45,3,0,6,97,52,0,0,0,0,0,0,0,0,819,358,208,27,0,235,186,1020,2474,977,676,557,204,38,977,1078,0,150,178,9,38,977,820,357,205,49,9,0,0,0,5078,407,492,577,625,833,810,606,502,228,797,676,1457,1126,1028,1905,2378,328,474,6,0,0,0,3924,415,332,281,114,2506,2567,1999,1083,1998,4451,269,278,67,0,4451,3,51,75,3,12,0,6,22,9,3,208,7,150,4451,628,4470,606,0,0,253.4,AgriculturalArea_CommercialArea_CoreArea_Farmland_ForestryArea_GreenArea_Residential_SpecialUseArea,19,Köln
9,10,2927,0,795,9,0,2063,10,0,30,0,0,547,18,92,3,2260,57,1087,1249,378,0,144,486,1046,675,310,148,71,0,0,0,2790,0,135,101,1117,1338,107,142,0,665,1063,613,174,271,0,0,0,164,97,2560,91,3,10,448,18,6,82,470,1368,413,91,307,814,181,1409,47,87,469,112,543,1384,413,1431,538,323,117,0,0,0,141,34,0,9,15,136,81,0,0,0,0,0,0,0,0,884,280,199,40,10,244,164,1024,2865,1336,680,494,260,86,1336,973,0,191,224,34,86,1336,921,297,218,49,20,0,0,0,5477,491,513,695,821,960,699,565,510,229,903,793,1782,966,1032,2469,2151,361,481,9,0,0,0,4515,304,396,176,82,2641,2836,2102,852,2519,4670,212,495,85,6,4670,18,22,48,3,6,0,0,9,3,0,371,6,266,4670,808,5013,454,3,6,1336.6,Residential_SpecialUseArea,10,Köln
