,Neighborhood_FID,geometry,length
0,1,1304,66809.59243731006
1,2,991,55590.283850169195
2,3,124,5857.735857008394
3,4,544,36872.446041668794
4,5,894,79823.33036449693
5,6,576,31190.215305612892
6,7,1589,138291.252595719
7,8,2329,143439.2345957421
8,9,1239,64127.16933229996
9,10,453,43366.40619776732
10,11,72,10126.861967472925
11,12,131,12007.116814523226
12,13,99,12294.658974628845
13,14,51,5061.045859571303
14,15,250,19321.7154289801
15,16,40,6090.974357803425
16,17,136,54761.85988876787
17,18,163,14636.75554987352
18,19,190,16539.702740179346
19,20,7,178.20732172419272
20,21,17,1543.3142378512778
21,22,920,62308.07459504538
22,23,300,11948.969546330998
23,24,74,7369.52261471347
24,25,68,9721.468825649823
25,26,270,33811.029139643855
26,27,178,17517.975260919076
27,28,34,1450.1838883187922
28,29,220,22054.02627419737
29,30,87,11835.677399904953
30,31,236,35237.494238033876
31,32,94,16752.41047070746
32,33,30,9491.340263565748
33,34,47,18292.313294817905
34,35,81,13167.86421396604
35,36,32,11771.912264809791
36,37,141,17190.109770384744
37,38,337,17191.847021436195
38,39,192,26134.967261332993
39,40,166,18660.83470076867
40,41,215,14884.450895704756
41,42,78,9636.488840458635
42,43,43,9947.054633665692
43,44,55,13123.384798433864
44,45,827,48836.61923921869
45,46,305,13433.154213928601
46,47,1828,99554.37674281719
47,48,307,26187.690568221413
48,49,212,15177.54839019754
49,50,96,7587.094849998465
50,51,4324,265039.3348630106
51,52,807,63695.84563362914
52,53,45,5233.424393936002
53,54,249,22347.130404622687
54,55,98,7470.078195318732
55,56,194,27166.402766868374
56,57,51,9685.097953272734
57,58,135,14938.06866574481
58,59,341,27469.573835719177
59,60,105,12372.570635894162
60,61,811,51945.31931173464
61,62,280,19201.936786812792
62,63,176,32415.474491603964
63,64,338,38186.05477288423
64,65,641,40070.06194786793
65,66,88,9072.011132293292
66,67,702,38609.660698756175
67,68,137,20543.099751497262
68,69,25,3423.095561336816
69,70,94,17541.584230578934
70,71,1184,94567.67419730258
71,72,718,81262.45074639727
72,73,191,13442.72038702252
73,74,308,22688.845908109193
74,75,464,39477.21299554352
75,76,412,34377.194997883045
76,77,189,26594.098334804283
77,78,427,37708.55026168552
78,79,151,17489.59620666249
79,80,12,1364.428354566537
80,81,49,9246.739961509744
81,82,185,17327.454801975327
82,83,416,39908.67694556716
83,84,86,5627.124156311789
84,85,344,23974.38850631606
85,86,1286,72977.72281698504
86,87,852,93538.52570657255
87,88,2,379.5120132633144
88,89,959,56621.70524406357
89,90,625,33843.763546012386
90,91,136,15567.687880105581
91,92,9,442.76580811362567
92,93,15,1504.4001986732794
93,94,157,15089.913826859434
94,95,25,1310.009524639005
95,96,183,16579.37974250845
