,Neighborhood_FID,geometry,length
0,1.0,2195,236572.40023010972
1,2.0,4013,336041.18374883034
2,3.0,800,120282.3352548149
3,4.0,440,204202.2058554451
4,5.0,296,117343.66953057935
5,6.0,107,16602.491640741286
6,7.0,1445,186159.53262117153
7,8.0,476,69411.63000653023
8,9.0,246,57845.880761147586
9,10.0,137,63163.47987970983
10,11.0,27,19638.16455415803
11,12.0,95,50623.13533918967
12,13.0,927,125582.75483058239
13,14.0,795,149666.99511286293
14,15.0,396,93257.26231325215
15,16.0,805,138305.31389471955
16,17.0,631,133034.64668461707
17,18.0,251,30498.871653203387
18,19.0,910,185318.66460398273
19,20.0,375,42577.97805960982
20,21.0,742,112489.4920712296
21,22.0,411,92357.96497227278
22,23.0,376,134997.642749073
23,24.0,120,60575.08145213518
24,25.0,178,149548.51654203687
25,26.0,183,119084.07938491661
26,27.0,214,61347.4553718151
27,28.0,309,55811.20198376827
28,29.0,287,86507.81474230147
29,30.0,369,85702.18055972172
30,31.0,471,106084.3177112529
31,32.0,464,74834.53959468899
32,33.0,446,74345.38181900955
33,34.0,92,53483.30935018807
34,35.0,247,104576.12343541064
35,36.0,138,30932.61609667624
36,37.0,563,164330.76695417828
37,38.0,284,77488.69078410142
38,39.0,221,36830.79431931733
39,40.0,65,45387.52919085472
40,41.0,162,54408.66100343515
41,42.0,447,148929.78578628885
42,43.0,1295,291438.3443860721
43,44.0,633,169410.28111877808
44,45.0,569,170372.16071366696
45,46.0,111,24167.394675024407
46,47.0,294,71319.9634418989
47,48.0,342,111553.96604660658
48,49.0,845,194003.5211592724
49,50.0,185,65612.53221586236
50,51.0,1161,300639.7091741286
51,52.0,1490,248805.26736172996
52,53.0,1999,527708.8433638421
53,54.0,237,193780.32363324118
54,55.0,775,358701.58079160133
55,56.0,208,162381.46980673718
56,57.0,161,24463.18333101193
57,58.0,265,26828.3886072569
58,59.0,439,42245.44977946805
59,60.0,572,115209.46988438575
60,61.0,421,54014.98135025902
61,62.0,48,15177.887996910591
62,63.0,237,44419.03258473
63,64.0,332,111113.32211150297
64,65.0,536,69059.56621553471
65,66.0,191,86584.6741428967
66,67.0,388,89472.86800113256
67,68.0,110,34010.772806983834
68,69.0,97,64496.87226122073
69,70.0,674,116465.23247895572
70,72.0,856,207344.9068523109
71,73.0,940,239359.73077116063
72,74.0,61,160062.48943012086
73,75.0,1519,261358.91275249518
74,76.0,662,119346.56868250981
75,77.0,365,98547.11990578378
76,78.0,1405,169569.17747334883
77,79.0,417,75633.70985996607
78,80.0,336,53582.39939312098
79,81.0,322,67904.07056961894
80,82.0,392,87369.74602625208
81,83.0,1239,200974.89274051943
82,84.0,479,112048.53386496933
83,85.0,400,101396.40035836564
84,86.0,339,109142.40508498679
85,87.0,66,52708.91903571409
86,88.0,567,217074.27053006602
