,Neighborhood_FID,geometry,length
0,1.0,20,4146.149447837909
1,2.0,17,5852.3160930532995
2,4.0,29,3282.871718129537
3,6.0,322,17146.2578934105
4,7.0,28,622.8112009089214
5,8.0,8,730.3865901959505
6,10.0,7,159.7676043812235
7,11.0,13,5518.605211728828
8,12.0,48,6457.22603809126
9,13.0,107,8622.881976769924
10,15.0,10,1202.2928751338393
11,18.0,60,2319.706580579433
12,20.0,88,6530.744191745381
13,24.0,4,576.3657779651103
14,25.0,37,1852.3419169725087
15,26.0,85,3867.5109693658887
16,27.0,1,204.35266798974726
17,28.0,8,5689.935685762108
18,33.0,34,1953.2550806461918
19,34.0,17,2370.6170564579347
20,37.0,2,254.4112622378545
21,38.0,69,5666.296899437701
22,39.0,81,15855.712123773024
23,40.0,118,8011.836756020038
24,41.0,132,4963.591342407641
25,42.0,2,51.905944911815624
26,43.0,303,17064.428246186093
27,44.0,97,6959.046640073095
28,46.0,66,9670.85292719681
29,47.0,124,5277.569775768259
30,50.0,21,9204.975393023245
31,51.0,117,4541.564750808317
32,52.0,74,10419.024288641165
33,53.0,39,2435.506086507818
34,56.0,23,3663.933609692014
35,57.0,177,11161.012114136156
36,59.0,84,2031.8115918488459
37,60.0,33,3825.643834909288
38,63.0,106,5415.942999212031
39,64.0,4,1242.4067858120816
40,65.0,107,4628.709676115634
41,66.0,23,4595.735040745355
42,67.0,154,4670.9230070489175
43,68.0,215,10939.413412463042
44,69.0,45,4306.205776294909
45,70.0,44,2094.8107724638216
46,71.0,233,30587.784152589058
47,73.0,126,7966.023051887979
48,74.0,93,4527.383928045681
49,75.0,42,5815.235437937324
50,76.0,31,988.5823568584527
51,77.0,6,1499.6352229492975
52,79.0,34,1902.979208201543
53,87.0,15,9515.561914926187
54,88.0,40,1952.7120151403035
55,92.0,17,1078.4644680819908
56,93.0,38,3030.586466409808
57,94.0,124,7172.355892281928
58,95.0,77,6455.647322373966
59,96.0,13,7607.151816887265
60,97.0,38,2925.245246696305
61,98.0,61,4304.515437664541
62,101.0,179,6256.7279176851935
63,102.0,182,12904.872404914318
64,103.0,35,1258.2894853701503
65,107.0,46,1068.056626803546
66,108.0,32,6717.109231570757
67,109.0,2,90.99668310097482
68,112.0,78,7955.973590707765
69,113.0,63,2475.7662758215474
70,114.0,30,6733.963106474035
71,115.0,158,10162.363483577094
72,117.0,88,5423.937242353421
73,118.0,393,18227.341375350028
74,120.0,532,35946.66311780083
75,121.0,322,18642.86400195476
76,124.0,1,53.4341144019446
77,126.0,56,4439.902936101382
78,127.0,46,5859.452657011892
79,128.0,6,2913.5408653216155
80,129.0,67,2728.166635503063
81,130.0,142,6188.547069094474
82,131.0,1,95.44185750132594
83,132.0,8,774.8068090488267
84,133.0,18,1516.0335677911537
85,134.0,4,5524.186551049254
86,135.0,49,6746.265958529427
87,138.0,36,4733.137113161479
88,139.0,132,11149.09491442951
89,141.0,16,2994.5499128500223
90,142.0,4,182.3541736529036
91,143.0,38,13960.909095767078
92,144.0,6,125.7772048199878
93,149.0,17,1222.8021552400357
94,150.0,296,22035.06379144715
95,152.0,1,171.57039110547737
96,153.0,8,3069.1063019691237
97,155.0,27,1466.3730257048048
98,156.0,89,6586.844730548336
99,157.0,90,4580.773330039992
100,158.0,16,777.0050035280915
101,159.0,44,3873.1904911113993
102,162.0,9,1703.6495759659879
