Neighborhood_FID,Bare vegetation,Built-up,Cropland,Grassland,Herbaceous wetland,Permanent water bodies,Shrubland,Tree Cover
1.0,907,66838,0,1763,0,324,0,36950
2.0,1020,42209,6,1735,0,3120,0,29007
3.0,137,2708,2,124,0,0,0,2311
4.0,929,28949,19,2175,0,1212,0,18519
5.0,2345,40685,19,5024,0,4675,0,39710
6.0,440,43374,2,755,0,485,0,16211
7.0,1167,41842,19,3505,0,356,0,52606
8.0,2148,56655,46,7743,0,398,1,36786
9.0,828,58600,16,1563,0,3,0,49080
10.0,577,17394,911,3081,0,8,0,57387
11.0,191,1380,0,276,0,1,0,58779
12.0,67,2520,0,410,40,1494,0,34012
13.0,56,424,0,214,41,16686,0,48664
14.0,330,4099,0,785,0,3824,0,48024
15.0,625,15591,197,1049,13,1014,0,38058
16.0,1219,12927,13556,22466,44,21026,0,61463
17.0,1052,11212,8463,18994,156,54028,0,88511
18.0,395,902,1862,4571,34,19246,0,93313
19.0,521,9420,9,2222,0,114,0,52572
20.0,393,5335,5,2841,0,75,0,40560
21.0,354,4300,12,1285,0,158,0,7495
22.0,1076,59145,21,1867,4,936,0,42929
23.0,675,46554,0,1657,0,4,0,22750
24.0,116,21276,11,973,0,0,0,13487
25.0,4871,67003,9280,20750,1,346,0,121294
26.0,1325,41234,38,7561,121,71,9,84901
27.0,635,19023,54,4252,0,1349,0,36680
28.0,172,4912,97,254,0,0,0,7232
29.0,1021,12599,3168,10698,1290,1194,8,52348
30.0,251,14512,50,1636,0,0,0,28786
31.0,451,19255,25,2096,0,0,0,34822
32.0,741,6959,38153,23608,0,4,0,39407
33.0,2200,8939,31475,29298,304,1442,9,27454
34.0,458,5065,22684,25445,2532,1225,12,90360
35.0,416,11661,16135,17421,43,47,0,158074
36.0,375,6446,3293,4299,4,155,0,54192
37.0,1586,6839,12258,33975,247,174,7,49123
38.0,666,33461,24,2454,0,99,0,31142
39.0,4197,86050,619,14823,0,1013,0,75591
40.0,757,39088,50,4424,0,0,0,25583
41.0,3850,29150,35526,47109,87,725,2,71557
42.0,402,29685,4401,5858,0,776,0,42839
43.0,2970,30464,70028,22835,250,11,1,69641
44.0,3304,36968,55487,41916,64,1,2,99612
45.0,1484,71875,83,1282,0,1814,0,29855
46.0,157,8446,11,638,0,14,0,7282
47.0,870,75523,11,1256,0,4246,0,40629
48.0,2093,33487,101,3739,0,10492,0,43864
49.0,1007,24316,35,7059,80,820,0,58104
50.0,1601,20173,74,8131,4,332,0,70197
51.0,1950,44762,386,25858,6,637,1,43418
52.0,1987,44437,253,6514,0,4763,0,65968
53.0,1444,21694,70,3512,0,2139,0,34622
54.0,3085,46918,298,14692,42,1738,0,51401
55.0,380,6197,11,1578,0,0,0,18527
56.0,125,10059,1,1785,0,505,0,10678
57.0,524,6099,243,3809,5,449,1,19020
58.0,711,13459,0,2017,0,71,0,31997
59.0,713,17992,6488,3866,0,0,0,36161
60.0,621,6436,9083,9048,0,0,0,9810
61.0,2946,26606,2990,22178,179,259,0,23610
62.0,1266,7137,12291,23987,121,8,11,16465
63.0,4014,17990,8014,30849,0,77,0,4275
64.0,789,15782,25429,9254,0,32,0,30681
65.0,2224,48303,65787,91140,0,269,5,67751
66.0,1005,6231,8723,12151,0,101,0,28982
68.0,1364,20706,34369,29882,31,428,0,4296
70.0,260,622,15481,7015,0,0,0,3563
71.0,1789,41917,8123,29341,2,2299,0,112039
72.0,890,16009,55283,17118,4,25,0,35082
73.0,625,5186,45667,6914,4,0,0,28483
74.0,1142,6537,48870,20476,148,64,0,41685
75.0,747,20400,18497,20783,28,287,3,20732
76.0,665,25797,18,2638,0,91,0,29159
77.0,556,24739,407,3218,0,0,0,36571
78.0,852,19511,6,1270,0,720,0,49691
79.0,204,7073,39,1722,1,584,0,20904
80.0,53,2088,79,767,0,1,0,12192
81.0,461,10518,27,3225,0,110,0,54877
82.0,276,11134,2,2332,0,0,0,37801
83.0,662,23944,37,2335,0,948,3,65596
84.0,102,8735,2,208,0,305,0,11866
85.0,652,20236,99,2851,1,53,0,20189
86.0,1964,31915,184,6882,1,3192,0,60684
87.0,5493,61213,1521,29291,818,50372,0,187624
88.0,36,421,0,100,6,0,0,21316
89.0,981,7450,2282,9031,8,18051,0,69087
90.0,427,2691,38,3761,11,202,0,71276
91.0,851,20345,200,4585,0,579,0,34041
92.0,896,6865,9,1143,40,7417,0,5962
93.0,532,24458,115,2529,2,2989,0,19491
94.0,1122,28970,226,3444,5,3136,0,22054
95.0,492,12205,21,1742,165,1389,0,16438
96.0,167,1384,95,3067,1,569,0,15143
