,Neighborhood_FID,buildings_total_units,n_occupied_by_owner,n_ownership_with_current_household,n_owned_without_current_household,n_rented_for_residential_purposes,n_rented_with_current_household,n_rented_without_current_household,n_vacation_and_leisure,n_vacant,n_diplomatic_army,n_commercial_use,we_private_individuals,we_private_companies_legal_entities,we_public_companies,we_housing_cooperative,we_does_not_apply_since_no_condominium,w_less_30,w_30_60,w_60_100,w_100_and_more,w_gewerblich,r_1,r_2,r_3,r_4,r_5,r_6,r_7_and_more,r_gewerblich,gs_buildings_with_living_space,gs_residential_buildings,gs_residential_buildings_no_dormitories,gs_dormitory,gs_other_building_with_living_space,j_before_1919,j_1919_1948,j_1949_1978,j_1979_1995,j_1996_2008,j_2009_and_later,e_community_of_apartment_owners,e_private_persons,e_housing_cooperative,e_municipality_housing_company,e_private_housing_company,e_other_private_company,e_federal_or_state_government,e_nonprofit_organization,gt_detached_house,gt_semidetached_house,gt_terraced_house,gt_other_type_of_building,gg_detached_single_family_house,gg_onefamily_semidetached,gg_onefamily_terraced_house,gg_detached_twofamily,gg_twofamily_semidetached_house,gg_twofamily_terraced_house,gg_apartment_3_6,gg_apartment_7_12,gg_apartment_13,gg_other_building_type,h_district,h_floor,h_block,h_central,h_stoves_night,h_no_heating,z_1_apart,z_2_apart,z_3_6_apart,z_7_12_apart,z_13_and_more_apart,families_total_units,famk_couple_wout_child,famk_couple_1_child_less_18,famk_couple_children_more_18,famk_reg_partner_wout_child,famk_reg_partner_1_child_less_18,famk_reg_partner_children_more_18,famk_nonmarital_wout_child,famk_nonmarital_1_child_less_18,famk_nonmarital_children_more_18,famk_fathers_1_child_less_18,famk_fathers_children_more_18,famk_mothers_1_child_less_18,famk_mothers_children_more_18,famk_wout_child,famk_with_child,famk_single_parent,famk_couple,famk_reg_partner,famk_nonmarital,famk_fathers,famk_mothers,famgr_2_pers,famgr_3_pers,famgr_4_pers,famgr_5_pers,famgr_6_more,fams_seniors_only_x,fams_seniors_young_x,fams_wout_seniors_x,households_total_units,hhtyp_single,hhtyp_couples_wout_child,hhtyp_couples_with_child,hhtyp_single_parent,hhtyp_multiplepers_wout_nuclear,hhleb_single,hhleb_married_couples,hhleb_registered_partner,hhleb_nonmarital_partner,hhleb_single_mothers,hhleb_single_fathers,hhleb_multipers_wout_nuclear,hhgr_1_pers,hhgr_2_pers,hhgr_3_pers,hhgr_4_pers,hhgr_5_pers,hhgr_6_more,fams_seniors_only_y,fams_seniors_young_y,fams_wout_seniors_y,population_total_units,al_10_under,al_10_19,al_20_29,al_30_39,al_40_49,al_50_59,al_60_69,al_70_79,al_80_over,alk_18_under,alk_18_29,alk_30_49,alk_50_64,alk_65_over,fam_single,fam_married,fam_widowed,fam_divorced,fam_civil_partner,fam_civil_partner_deceased,fam_civil_partner_dissolved,fam_unknown,geb_germany,geb_eu27,geb_other_europe,geb_other_world,geb_other,ght_male,ght_female,re_roman_catholic,re_protestant,re_other,sg_germany,sg_eu27,sg_other_europe,sg_other_world,sg_other,sh_germany,sh_bosnia,sh_greece,sh_italy,sh_kazakhstan,sh_croatia,sh_netherlands,sh_austria,sh_poland,sh_romania,sh_russia,sh_turkey,sh_ukraine,sh_other,sk_germany,sk_abroad,sz_one,sz_mult_german_foreign,sz_mult_foreign_only,sz_unknown,Land_Value,Area_Types,Area_Count,City_Name
0,1,2212,0,134,0,0,2029,0,0,27,0,0,328,0,0,0,1876,145,944,906,85,0,129,544,791,515,129,18,27,0,0,0,1928,0,281,104,101,1882,32,40,3,333,466,8,639,470,100,0,23,154,237,1279,523,9,4,15,3,6,23,351,886,369,523,766,232,3,1073,35,0,32,39,422,1206,488,755,272,160,48,3,0,0,115,21,3,0,9,44,52,0,0,0,0,0,0,0,0,484,172,73,9,0,86,117,558,2172,1219,390,248,114,199,1219,484,3,145,97,9,199,1219,591,214,75,29,23,0,0,0,3438,196,160,589,685,555,476,353,227,195,309,634,1242,667,582,1648,1180,176,382,45,0,0,0,2023,439,370,563,38,1760,1678,799,556,2084,2309,438,354,335,0,2309,13,31,104,0,84,3,16,67,3,12,118,6,615,2309,1129,3169,259,6,0,6998.5,MixedUseArea_Residential,7,Frankfurt am Main
1,2,4739,0,247,0,0,4330,0,0,117,0,0,922,9,0,0,3796,574,1913,1621,283,0,646,1159,1533,875,329,24,45,0,0,0,3956,75,708,902,196,2683,416,194,105,930,2026,0,378,642,255,27,187,664,390,2952,692,3,0,15,15,3,52,544,1139,2205,692,523,888,9,3134,77,0,73,108,619,1308,2609,1355,498,258,86,9,0,0,219,15,3,0,3,90,54,0,0,0,0,0,0,0,0,911,243,123,28,3,95,180,1053,4601,2863,751,401,189,384,2863,875,9,259,162,15,384,2863,1101,327,164,56,42,0,0,0,7395,410,347,1605,1549,1085,865,640,468,389,643,1723,2641,1252,1118,3841,2345,409,719,64,0,6,0,3876,1137,1083,1134,130,3936,3447,1706,1031,4647,4462,1061,1094,762,6,4462,89,60,196,0,184,3,15,147,102,52,404,26,1526,4462,2926,6731,613,24,7,11756.9,MixedUseArea_Residential_SpecialUseArea,21,Frankfurt am Main
2,3,1719,0,79,0,0,1466,0,3,153,0,0,369,16,0,0,1326,238,565,605,201,0,280,365,553,301,148,33,12,0,0,0,1435,8,276,748,107,654,20,87,22,386,847,0,59,170,114,10,30,121,33,1267,277,3,0,3,0,3,19,213,425,745,277,197,362,0,1074,37,0,9,44,247,476,921,412,149,57,23,3,0,0,103,16,0,0,6,6,6,0,0,0,0,0,0,0,0,292,82,20,0,6,6,49,346,1562,954,258,118,35,194,954,239,3,125,13,7,194,954,376,132,45,3,21,0,0,0,2609,90,102,628,652,489,314,198,112,27,158,663,1141,437,209,1465,838,58,218,15,0,0,0,1246,587,226,495,47,1613,991,538,341,1734,1351,637,231,375,0,1351,6,126,49,0,31,7,12,74,75,0,120,0,707,1351,1256,2461,133,3,3,5312.2,MixedUseArea_Residential,9,Frankfurt am Main
3,4,11259,0,1601,0,0,9279,0,6,330,0,0,3975,52,0,0,7199,844,3343,4561,2081,0,1086,1974,3100,2798,1459,426,342,0,0,0,10685,99,458,2926,771,6386,495,265,23,4056,4561,121,304,697,485,287,186,2466,1979,6055,726,3,12,17,56,30,41,2447,4438,3404,726,186,1823,59,8806,73,0,99,155,2572,4744,3658,4028,1499,1050,250,9,0,0,619,117,0,3,6,170,162,0,0,0,0,0,0,0,0,2462,864,530,118,9,379,549,3096,10898,6261,2146,1477,393,615,6261,2831,9,774,335,15,615,6261,2718,986,588,179,79,0,0,0,16907,1629,809,2501,3914,2916,1712,1684,1077,637,2265,2671,6833,2581,2543,8612,6382,630,1198,81,0,0,0,11739,2399,897,1706,145,8305,8591,3733,3449,9720,13200,2000,661,1031,0,13200,24,131,340,9,83,49,150,167,72,48,162,24,2221,13200,3713,15745,1074,40,6,9779.6,CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea,20,Frankfurt am Main
4,5,5273,0,838,0,0,4154,0,3,247,0,0,1539,12,0,0,3693,392,1429,2266,879,0,409,848,1637,1200,710,179,181,0,0,0,4844,210,220,974,813,2044,246,691,148,1558,1394,0,506,642,158,389,244,817,984,3003,429,42,10,85,21,21,37,1110,1856,1603,429,538,813,149,3553,31,0,152,96,1174,1954,1873,2104,649,603,167,9,0,0,326,54,3,3,12,127,81,0,0,0,0,0,0,0,0,1197,499,309,72,9,192,262,1640,5008,2543,990,846,266,354,2543,1424,12,392,225,27,354,2543,1294,612,352,118,46,0,0,0,8882,860,560,1516,1847,1408,885,819,544,444,1302,1626,3256,1320,1371,4531,3252,406,644,50,0,0,0,6032,991,654,1030,166,4256,4619,1888,1790,5199,6819,840,571,642,0,6819,51,78,159,0,94,9,42,80,22,35,175,28,1220,6819,2065,8129,704,29,0,4236.2,MixedUseArea_OtherArea_Residential_SpecialUseArea,20,Frankfurt am Main
5,6,17589,0,3055,43,0,14044,3,11,399,0,0,6426,162,11,0,10956,932,5746,7571,2721,0,1340,2696,5378,4867,1978,678,507,0,0,0,16840,152,573,7295,1478,6679,852,499,105,6622,7614,435,667,682,179,178,443,3144,2006,11265,1116,29,61,162,45,84,135,4583,7270,4002,1116,329,5614,358,10422,512,0,307,288,4890,7670,4388,6628,2179,1518,496,35,0,0,1107,307,3,30,54,463,287,0,0,0,0,0,0,0,0,4045,1519,851,127,0,576,833,5230,17125,9312,3346,2371,931,1188,9312,4184,41,1450,780,114,1188,9312,4625,1736,953,279,124,0,0,0,28322,2439,1406,4151,6312,5137,3349,2726,1717,1090,3555,4438,11449,4859,4026,15175,9504,1285,2193,175,0,6,0,21330,2871,1769,2072,245,13658,14667,6485,6382,15454,23075,2491,1591,1157,3,23075,115,215,439,0,460,37,116,329,88,65,444,34,2636,23075,5244,26628,1595,64,3,6407.0,MixedUseArea_Residential_SpecialUseArea,17,Frankfurt am Main
6,7,13812,0,2197,34,0,11328,0,7,230,0,0,4913,70,3,0,8797,743,5159,6121,1435,0,922,2280,4525,4004,1310,434,248,0,0,0,13021,249,533,5873,1105,5769,331,359,23,5006,6052,195,1250,353,53,7,300,1981,1591,9599,607,6,14,128,35,30,61,2946,6835,3095,607,253,5927,91,6933,414,3,167,139,3095,7087,3293,5157,1574,1112,376,15,0,0,940,308,6,21,58,395,244,0,0,0,0,0,0,0,0,3162,1227,621,83,12,371,618,4175,13546,7377,2552,1824,772,1003,7377,3055,18,1273,653,93,1003,7377,3686,1420,728,186,102,0,0,0,22110,1836,1140,3316,5104,4109,2716,2055,1162,666,2740,3555,9213,3880,2721,12299,7047,883,1761,141,0,0,3,16498,1993,1644,1798,157,10636,11477,4943,4646,12521,17641,1803,1631,1041,0,17641,147,158,417,0,418,24,66,226,69,68,566,16,2174,17641,4468,20648,1399,43,0,5529.3,CommercialBuildingArea_MixedUseArea_OtherArea_Residential_SpecialUseArea,17,Frankfurt am Main
7,8,15732,0,2171,0,0,13175,0,0,296,0,0,4543,93,0,0,11037,1003,6188,6599,1305,0,1365,2470,5624,4306,1283,344,173,0,0,0,15018,256,450,3300,1084,8840,888,958,74,4672,5889,669,1412,529,562,853,233,2784,1728,10074,1059,6,12,46,30,27,62,1715,6652,5999,1059,759,4540,565,8838,692,0,91,147,1832,7064,6519,5859,2032,1317,431,30,0,0,913,226,3,10,38,392,276,0,0,0,0,0,0,0,0,3668,1265,700,119,40,548,775,4508,15389,8606,3013,2025,808,905,8606,3787,30,1190,688,76,905,8606,4069,1439,812,210,152,0,0,0,26210,1891,1379,4110,5443,4519,3152,2486,1822,1358,2971,4415,9974,4544,4296,13134,9110,1559,2234,167,0,3,0,17374,2808,3028,2497,479,12770,13424,5801,5024,15378,19280,2430,3059,1399,4,19280,222,191,427,0,730,27,68,378,180,92,1124,82,3169,19280,6920,24116,1988,45,17,4334.1,CommercialBuildingArea_MixedUseArea_Residential,20,Frankfurt am Main
8,9,18191,0,1996,0,0,15660,0,3,500,0,0,4161,87,0,0,13900,848,8345,7324,1120,0,1165,2967,7172,5066,1193,274,202,0,0,0,17557,143,486,5223,3149,7095,827,1075,191,4268,5826,831,4639,871,463,70,422,2790,1985,12368,991,23,18,309,84,42,120,2672,8906,4915,991,458,7578,243,9157,451,4,428,280,2844,9235,5385,6782,2299,1495,470,16,3,0,1032,294,11,37,49,549,368,0,0,0,0,0,0,0,0,4229,1541,837,105,19,728,841,5215,17682,9788,3375,2309,1105,1102,9788,4264,20,1377,939,139,1102,9788,4758,1789,946,222,117,0,0,0,29099,2354,1601,4288,5861,5002,3498,2846,2214,1446,3587,4647,10872,5075,4920,14619,9913,1757,2675,124,0,3,0,20836,2636,2891,2301,436,13792,15307,6591,6149,16360,22587,2452,2813,1247,0,22587,291,144,606,0,654,18,73,391,85,182,945,135,2770,22587,6514,26923,2091,60,11,3302.5,MixedUseArea_OtherArea_Residential,21,Frankfurt am Main
9,10,3512,0,390,53,0,2899,10,0,143,0,0,844,0,0,0,2651,233,1177,1497,413,0,444,537,1156,1027,202,38,24,0,0,0,3075,178,258,1086,252,883,391,662,0,849,1197,148,394,235,168,0,272,825,190,2195,282,0,0,0,3,3,3,467,1191,1529,282,512,1027,23,1743,62,38,9,22,487,1256,1709,1206,426,262,88,12,0,0,204,46,0,3,6,48,24,0,0,0,0,0,0,0,0,762,261,127,30,6,82,145,964,3326,1800,670,416,123,315,1800,786,15,259,89,15,315,1800,920,324,154,63,33,0,0,0,5824,395,270,1118,1326,982,556,515,371,271,592,1194,2309,854,870,2930,2021,322,485,50,0,0,0,3367,765,638,924,97,3167,2650,1206,948,3668,3721,802,651,634,4,3721,42,184,113,0,175,0,33,111,32,32,221,17,1064,3721,2098,5302,485,22,4,3374.7,CommercialBuildingArea_MixedUseArea_OtherArea_Residential,14,Frankfurt am Main
